split,target_prior,method,multiclass_ece,multiclass_nll,multiclass_brier,acceptor_ece,acceptor_nll,acceptor_brier,donor_ece,donor_nll,donor_brier
validation,sampled_splice_enriched,uncalibrated,0.005295159923213742,0.024750985544504205,0.014660328829515255,0.008173420423832659,0.012201904130979883,0.0035811028278543554,0.008578950069015637,0.012552033190709527,0.0037504505700413976
validation,sampled_splice_enriched,global_T_1.1,0.007032861446550387,0.026087066331034706,0.014989845445868274,0.009010254798537141,0.01290109267330283,0.0036610718509328204,0.009284904995475761,0.013191234332983418,0.003835991269698488
validation,sampled_splice_enriched,true_logit_unweighted_vector_T_0.7556_0.2903_0.4050,0.00013617664341212735,0.004173829840909361,0.002232359117273414,0.00022915712673091956,0.0022808845871016086,0.0006015722046258783,0.00016681076501083797,0.0018929550084692357,0.0005146122788231409
validation,sampled_splice_enriched,true_logit_target_weighted_vector_T_0.3754_0.3908_0.3582,0.0034290524636981035,0.025162521445662542,0.01361143346207325,0.006048020234824358,0.014474265662779155,0.003924451286729115,0.004604292542742123,0.01068825883841482,0.002881267759378431
test,sampled_splice_enriched,uncalibrated,0.013749489951354452,0.08796852197437194,0.05466438919514677,0.028364450088854902,0.0431817150551344,0.013332505106706433,0.03001628827419581,0.04479898175084028,0.014006212615014694
test,sampled_splice_enriched,global_T_1.1,0.01753996225472797,0.08986239528552223,0.055641291838242055,0.03005432247221502,0.04415429816900579,0.01356924005498326,0.031595631431201365,0.04573069981145382,0.014262814233969039
test,sampled_splice_enriched,true_logit_unweighted_vector_T_0.7556_0.2903_0.4050,0.0002523632491759599,0.010704676931486683,0.005578770927681759,0.002067927686158123,0.0062126768213524725,0.001606764156037959,0.0016487826271233295,0.004493507961032295,0.0011837563231247524
test,sampled_splice_enriched,true_logit_target_weighted_vector_T_0.3754_0.3908_0.3582,0.013664710632606783,0.09718057519254564,0.05173467436164816,0.022724090775031215,0.055844846033647026,0.01487535132327515,0.017508206719064327,0.04133590177135485,0.010992146068253307
validation,reconstructed_target_position,uncalibrated,0.001544150730613478,0.0017321876113549097,0.0002168836711781189,0.0008308495011724287,0.000937562691889995,5.99901941481856e-05,0.0007167214152020217,0.0007941819138243655,4.804421409647217e-05
validation,reconstructed_target_position,global_T_1.1,0.002557612623740245,0.0027541428282831133,0.0002587567352649348,0.00136966782634636,0.0014814575134467541,7.076125351596966e-05,0.0011904561145417414,0.0012713869428591404,5.7386063478969005e-05
validation,reconstructed_target_position,true_logit_unweighted_vector_T_0.7556_0.2903_0.4050,8.508761760278191e-05,0.0021187933813691267,0.0011384487443578475,0.0004935684396853461,0.001075273239264951,0.0002778481397570376,0.0005903198166100122,0.0010435174181211244,0.00029137555572136435
validation,reconstructed_target_position,true_logit_target_weighted_vector_T_0.3754_0.3908_0.3582,1.2486496348733282e-05,0.00023737799279618677,0.0001268358657678489,1.3194428050105924e-05,0.00013841508793340483,3.802035769572755e-05,1.7017518719131996e-05,9.896273694229434e-05,2.5397458955614826e-05
test,reconstructed_target_position,uncalibrated,0.0014802952338752943,0.0016705572706194455,0.0002094794927159932,0.0008080920239975641,0.0009080733741484911,5.726797430956281e-05,0.0006746227839546159,0.0007621313953861639,4.7125676197796216e-05
test,reconstructed_target_position,global_T_1.1,0.0024654088576390575,0.0026631443497013366,0.00024906457342039516,0.0013343252431878103,0.0014384257690433632,6.776825161063495e-05,0.0011331690910891313,0.0012235949524010445,5.5664223394908726e-05
test,reconstructed_target_position,true_logit_unweighted_vector_T_0.7556_0.2903_0.4050,0.0001015871837970275,0.002144675223551745,0.0011471377802272263,0.0005056477906116085,0.001120114976528866,0.0002883185560519829,0.0005824271306761873,0.0010245623596163577,0.0002852519142418108
test,reconstructed_target_position,true_logit_target_weighted_vector_T_0.3754_0.3908_0.3582,2.0063524471449005e-05,0.00024317233996858204,0.00012930525475036988,1.529808287512679e-05,0.00013240645286953176,3.462599583164395e-05,1.5379477079619075e-05,0.00011076614415073276,3.0026870060762833e-05
