class,threshold,predicted_positive,tp,fp,fn,precision,recall
1,0.01,51955,51831,124,1193,0.9976133192185546,0.9775007543753772
1,0.05,50325,50278,47,2746,0.9990660705414803,0.9482121303560652
1,0.1,49103,49074,29,3950,0.9994094047206892,0.9255054315027158
1,0.5,42906,42899,7,10125,0.9998368526546404,0.8090487326493663
2,0.01,52096,52005,91,1059,0.9982532248157249,0.9800429669832655
2,0.05,50585,50552,33,2512,0.99934763269744,0.9526609377355646
2,0.1,49383,49361,22,3703,0.9995545025616103,0.9302163425297754
2,0.5,43018,43015,3,10049,0.9999302617508949,0.8106249057741595
