bin,bin_low,bin_high,count,weighted_count,mean_confidence,observed_accuracy,gap
7,0.4666666666666667,0.5333333333333333,3723,4554.107824000001,0.5144088566366805,0.3926125750860131,-0.12179628155066735
8,0.5333333333333333,0.6,7595,18399.401712,0.5678857328356466,0.5889849347075335,0.021099201871886963
9,0.6,0.6666666666666666,7953,23744.048656,0.6305178529892077,0.6476830292425257,0.017165176253318037
10,0.6666666666666666,0.7333333333333333,8780,20415.509536000005,0.7006546568726973,0.663289921229816,-0.03736473564288134
11,0.7333333333333333,0.8,9983,29098.479952,0.7704237860067878,0.7397114896553412,-0.030712296351446677
12,0.8,0.8666666666666667,12336,68020.224208,0.8368902946697291,0.8502945246275393,0.01340422995781021
13,0.8666666666666667,0.9333333333333333,17193,155156.89878400002,0.9063643655153513,0.9023375684951329,-0.004026797020218353
14,0.9333333333333333,1.0,538525,415840611.329328,0.9999093298023679,0.9999096649077157,3.3510534780401e-07
