epoch	nll	ece	T_nonsplice	T_acceptor	T_donor
1	0.0017309698	0.0015387193	1.0000000000	1.0000000000	1.0000000000
25	0.0006068467	0.0004148813	0.7788477540	0.7900077105	0.8032887578
50	0.0003559883	0.0001463728	0.6344065070	0.6818245649	0.6712509394
75	0.0002949810	0.0000822151	0.5603808761	0.6098375916	0.5712449551
100	0.0002702119	0.0000558463	0.5147231817	0.5372779965	0.5191881061
125	0.0002575130	0.0000381251	0.4789999723	0.4904486537	0.4801711440
150	0.0002506371	0.0000260139	0.4508832693	0.4573954940	0.4497368634
175	0.0002470092	0.0000175804	0.4294055700	0.4325169623	0.4269172847
200	0.0002452100	0.0000116144	0.4135318398	0.4145261049	0.4102299213
225	0.0002443901	0.0000076305	0.4023219347	0.4020524323	0.3985288441
250	0.0002440510	0.0000051969	0.3948096037	0.3937647343	0.3907207549
275	0.0002439244	0.0000036079	0.3900402188	0.3885320425	0.3857775033
300	0.0002438817	0.0000028259	0.3871724308	0.3853967488	0.3828102946
325	0.0002438687	0.0000028493	0.3855382800	0.3836139739	0.3811211288
350	0.0002438651	0.0000027736	0.3846553862	0.3826517761	0.3802090585
375	0.0002438642	0.0000028658	0.3842030764	0.3821591735	0.3797419369
400	0.0002438640	0.0000029048	0.3839835823	0.3819202185	0.3795152903
425	0.0002438640	0.0000028118	0.3838828206	0.3818105161	0.3794112802
450	0.0002438640	0.0000028043	0.3838392794	0.3817631304	0.3793661892
475	0.0002438640	0.0000028592	0.3838216364	0.3817439079	0.3793480396
500	0.0002438640	0.0000028575	0.3838149905	0.3817366362	0.3793411851
525	0.0002438640	0.0000028572	0.3838126659	0.3817341626	0.3793388009
550	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
575	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
600	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
625	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
650	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
675	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
700	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
725	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
750	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
775	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
800	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
825	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
850	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
875	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
900	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
925	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
950	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
975	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
1000	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
1025	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
1050	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379962
1075	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
1100	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
1125	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379962
1150	0.0002438640	0.0000028571	0.3838118911	0.3817332983	0.3793379664
1175	0.0002438640	0.0000028571	0.3838118613	0.3817332983	0.3793379366
1200	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1225	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1250	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1275	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1300	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1325	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1350	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1375	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1400	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1425	0.0002438640	0.0000028571	0.3838118613	0.3817332685	0.3793379366
1450	0.0002438640	0.0000028571	0.3838118315	0.3817332387	0.3793378770
1475	0.0002438640	0.0000028571	0.3838118315	0.3817332387	0.3793379068
1500	0.0002438640	0.0000028571	0.3838118315	0.3817332387	0.3793379366
1525	0.0002438640	0.0000028571	0.3838118315	0.3817332387	0.3793379366
1550	0.0002438640	0.0000028571	0.3838118315	0.3817332387	0.3793379068
1575	0.0002438640	0.0000028571	0.3838118315	0.3817332387	0.3793378770
1600	0.0002438640	0.0000028571	0.3838118017	0.3817332089	0.3793378770
1625	0.0002438639	0.0000028571	0.3838118017	0.3817332089	0.3793379068
1650	0.0002438639	0.0000028571	0.3838118017	0.3817332089	0.3793379068
1675	0.0002438640	0.0000028571	0.3838118017	0.3817332089	0.3793378770
1700	0.0002438640	0.0000028571	0.3838118017	0.3817332089	0.3793378472
1725	0.0002438640	0.0000028571	0.3838118017	0.3817332089	0.3793378472
1750	0.0002438640	0.0000028571	0.3838118017	0.3817332089	0.3793378770
1775	0.0002438639	0.0000028571	0.3838118017	0.3817332089	0.3793379068
1800	0.0002438639	0.0000028571	0.3838118017	0.3817332089	0.3793379068
