class,threshold,predicted_positive,tp,fp,fn,precision,recall
1,0.01,51842,51693,149,1331,0.9971258824891015,0.9748981593240796
1,0.05,50022,49961,61,3063,0.9987805365639119,0.9422337054918527
1,0.1,48637,48605,32,4419,0.9993420646832658,0.9166603802051901
1,0.5,42150,42145,5,10879,0.9998813760379597,0.7948287567893784
2,0.01,52035,51938,97,1126,0.9981358700874411,0.9787803407206392
2,0.05,50309,50270,39,2794,0.9992247907928998,0.947346600331675
2,0.1,48992,48966,26,4098,0.9994693011103853,0.9227725011307101
2,0.5,42184,42178,6,10886,0.9998577659776219,0.7948515000753806
