bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
0,0.0,0.06666666666666667,553166,415808710.29118395,0.0006158780441057053,1.1158977397925803e-06,0.0006147621463659128,0.000614243212265115,uncalibrated,binary_class,acceptor
1,0.06666666666666667,0.13333333333333333,1127,179815.18216000003,0.09276397688606731,0.005060751762274887,0.08770322512379243,3.789497164949593e-05,uncalibrated,binary_class,acceptor
2,0.13333333333333333,0.2,1272,59449.54768,0.16109635204386377,0.020202003999502928,0.14089434804436085,2.012712721526755e-05,uncalibrated,binary_class,acceptor
3,0.2,0.26666666666666666,1601,35676.420784,0.2324084676951095,0.043726359475489245,0.18868210821962025,1.6175274623354954e-05,uncalibrated,binary_class,acceptor
4,0.26666666666666666,0.3333333333333333,1781,15078.725184,0.3024286776033128,0.11705233555637962,0.1853763420469332,6.716740958623822e-06,uncalibrated,binary_class,acceptor
5,0.3333333333333333,0.4,2144,9623.970416,0.36659167759367844,0.22184191219567023,0.1447497653980082,3.3474323815680783e-06,uncalibrated,binary_class,acceptor
6,0.4,0.4666666666666667,2428,4921.323472,0.4388026802157148,0.49275362893683,0.05395094872111522,6.379999766385349e-07,uncalibrated,binary_class,acceptor
7,0.4666666666666667,0.5333333333333333,2953,4615.215648,0.5030039937785039,0.6394067417583864,0.1364027479798825,1.5127068841478137e-06,uncalibrated,binary_class,acceptor
8,0.5333333333333333,0.6,3607,5269.215648,0.5663859589301093,0.6841625472983488,0.11777658836823945,1.491229917334636e-06,uncalibrated,binary_class,acceptor
9,0.6,0.6666666666666666,4292,4292.0,0.6348130117341501,1.0,0.36518698826584994,3.766297947032459e-06,uncalibrated,binary_class,acceptor
10,0.6666666666666666,0.7333333333333333,5385,6216.107824000001,0.6985851065667539,0.8661368419660797,0.16755173539932577,2.502690439591808e-06,uncalibrated,binary_class,acceptor
11,0.7333333333333333,0.8,7099,7099.0,0.7679412536158295,1.0,0.23205874638417046,3.958537679212865e-06,uncalibrated,binary_class,acceptor
12,0.8,0.8666666666666667,8898,8898.0,0.8342457536861693,1.0,0.16575424631383073,3.5440246148127307e-06,uncalibrated,binary_class,acceptor
13,0.8666666666666667,0.9333333333333333,8747,8747.0,0.8979782735305172,1.0,0.10202172646948282,2.144329203740307e-06,uncalibrated,binary_class,acceptor
14,0.9333333333333333,1.0,1588,1588.0,0.9464407885254781,1.0,0.05355921147452192,2.0437338480762401e-07,uncalibrated,binary_class,acceptor
0,0.0,0.06666666666666667,553029,415836830.95719993,0.0007110286075512653,7.959852888405362e-07,0.0007102326222624247,0.0007096810911284813,uncalibrated,binary_class,donor
1,0.06666666666666667,0.13333333333333333,1049,190541.58387200002,0.09068406216856564,0.004303522534749427,0.08638053963381621,3.954989628399032e-05,uncalibrated,binary_class,donor
