context,checkpoint,method,weighted_multiclass_ece,weighted_nll,acceptor_ece,donor_ece,acceptor_auprc,donor_auprc
flank80,epoch2,uncalibrated,0.0056099525023007,0.0062396704659667,0.0027374311680353,0.0028740140644998,0.990909126553712,0.9949712171869052
flank80,epoch2,global_T_1.1,0.0085376100243801,0.0092115245687958,0.004120738251457,0.0044130273543307,0.9909104759910996,0.9949744009289024
flank80,epoch2,true-logit unweighted vector T,0.0004451718739298,0.010417225361564,0.0031151253884578,0.0029112502594144,0.9880829886314768,0.9931966599929994
flank80,epoch2,true-logit genome-weighted vector T,4.392693400408338e-05,0.0008181625724267,2.8100790922790368e-05,3.170442648466998e-05,0.9908998793193564,0.9949625823639048
flank80,epoch2,OpenSpliceAI-style vector T,1.125252932494946e-05,0.0008042951241258,1.525099365935745e-05,1.6236864505547185e-05,0.9908835356330272,0.994971226465588
flank400,epoch8,uncalibrated,0.001631853823136,0.0018379746582329,0.0007593744037214,0.000878562350799,0.999464145205716,0.99959016431085
flank400,epoch8,global_T_1.1,0.0026945276440127,0.0029092586994767,0.0012470074170942,0.0014522243305939,0.9994643848223024,0.9995902403966018
flank400,epoch8,true-logit unweighted vector T,9.8577900265881e-05,0.0022872708160996,0.0006269783073798,0.0005574830374739,0.9994150596152948,0.999546824061148
flank400,epoch8,true-logit genome-weighted vector T,2.898574687956938e-05,0.0002676494262319,1.96215050193955e-05,1.745015824275991e-05,0.9994633628883424,0.9995882420027576
flank400,epoch8,OpenSpliceAI-style vector T,1.168236759922236e-05,0.0002578195495982,9.992408681289145e-06,1.4059267655283573e-05,0.9994644414314692,0.9995892897308892
