model_role,model,class,min_auprc,max_auprc,method_spread
primary,seed11_epoch11,acceptor,0.9995392004005672,0.9995611608732204,2.1960472653237417e-05
primary,seed11_epoch11,donor,0.9996747402005732,0.9996865058562638,1.1765655690609833e-05
replication,seed23_epoch14,acceptor,0.9995820799487102,0.9996225073549204,4.0427406210241656e-05
replication,seed23_epoch14,donor,0.9997273674810512,0.9997306091438568,3.241662805630874e-06
