model_role,model,method,class,target_validation_recall,selected_threshold,validation_recall,test_recall,test_sampled_precision,test_target_prior_precision,test_sampled_auprc,test_target_prior_auprc,test_tp,test_fn,test_fp_other_splice,test_fp_sampled_nonsplice,estimated_test_target_false_positives,nonsplice_weight,frozen_total_positions,evaluator_total_positions,evaluator_nonsplice_weight
primary,seed11_epoch11,Uncalibrated,acceptor,0.95,0.2173282625856081,0.9500746914065571,0.9447608630054315,0.9987638814123652,0.49265756283592893,0.9995603125650077,0.9192400671867408,50095,2929,0,62,51588.205087999995,832.067824,416140000,416160000,832.107824
primary,seed11_epoch11,Uncalibrated,donor,0.95,0.23762678893696562,0.9500392772977219,0.9429556761646314,0.9993010065505672,0.6321045452069483,0.9996860656972636,0.9300610762450842,50037,3027,0,35,29122.37384,832.067824,416140000,416160000,832.107824
primary,seed11_epoch11,OpenSpliceAI-style vector-T,acceptor,0.95,0.04674837404553963,0.9500746914065571,0.9443836753168376,0.9987833093984363,0.49662238628620936,0.9995611608732204,0.9194895283607506,50075,2949,0,61,50756.137264,832.067824,416140000,416160000,832.107824
primary,seed11_epoch11,OpenSpliceAI-style vector-T,donor,0.95,0.058643257843424564,0.9500392772977219,0.9429745213327303,0.9993209777919796,0.6388239775002771,0.9996865058562638,0.9302014247459537,50038,3026,0,34,28290.306016,832.067824,416140000,416160000,832.107824
replication,seed23_epoch14,Uncalibrated,acceptor,0.95,0.24728747215066765,0.9500746914065571,0.9464016294508147,0.9990642855720798,0.567296705542244,0.9996223193420567,0.9227098669626743,50182,2842,1,46,38276.119904,832.067824,416140000,416160000,832.107824
replication,seed23_epoch14,Uncalibrated,donor,0.95,0.2537006368883798,0.9500392772977219,0.9462724257500377,0.9994426862522641,0.6830687780164278,0.9997278170335783,0.9408893906926696,50213,2851,0,28,23297.899072,832.067824,416140000,416160000,832.107824
replication,seed23_epoch14,OpenSpliceAI-style vector-T,acceptor,0.95,0.053471414326984296,0.9500746914065571,0.9464393482196741,0.9990643228285322,0.5673064885562152,0.9996216180573987,0.9227487470902503,50184,2840,1,46,38276.119904,832.067824,416140000,416160000,832.107824
replication,seed23_epoch14,OpenSpliceAI-style vector-T,donor,0.95,0.06281818420733622,0.9500392772977219,0.9460085933966531,0.9994624298172261,0.690829375611901,0.9997286254136559,0.9412026463557827,50199,2865,0,27,22465.831248,832.067824,416140000,416160000,832.107824
