method,expected_weighted_multiclass_ece,weighted_multiclass_ece,difference_weighted_multiclass_ece,expected_acceptor_ece,acceptor_ece,difference_acceptor_ece,expected_donor_ece,donor_ece,difference_donor_ece
uncalibrated,0.0014802952371723,0.001480295237172326,2.6020852139652106e-17,0.0008080920239975,0.0008080920239975683,6.830473686658678e-17,0.0006746227839546,0.0006746227839546249,2.4936649967166602e-17
global_T_1.1,0.002465408860966,0.0024654088609660668,6.678685382510707e-17,0.0013343252431878,0.0013343252431878155,1.5612511283791264e-17,0.0011331690910891,0.0011331690910891335,3.3393426912553537e-17
true_logit_unweighted_vector_T,0.0001015871805288,0.00010158718052885116,5.116079001415974e-17,0.0005056477906503,0.0005056477906503347,3.469446951953614e-17,0.0005824271307028,0.0005824271307028544,5.442694905877232e-17
true_logit_target_weighted_vector_T,2.006352154209552e-05,2.006352154209552e-05,0.0,1.5298082875505847e-05,1.5298082875505847e-05,0.0,1.537947705311249e-05,1.537947705311249e-05,0.0
openspliceai_style_full_validation_vector_T_v2,1.60181413609639e-05,1.60181413609639e-05,0.0,1.3342966432569724e-05,1.3342966432569724e-05,0.0,1.8166595510034817e-05,1.8166595510034817e-05,0.0
