method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
uncalibrated,binary_class,acceptor,0,0.0,0.06666666666666667,553961,406896005.12907577,0.9990605525302425,0.0006908677026165408,9.216114075168723e-07,0.0006899460912090239,0.0006892979230993685
uncalibrated,binary_class,acceptor,1,0.06666666666666667,0.13333333333333333,922,201003.95192799924,0.0004935293459326211,0.09373025113300976,0.0033531679030939184,0.09037708322991583,4.460374277375842e-05
uncalibrated,binary_class,acceptor,2,0.13333333333333333,0.2,1068,52308.49988399992,0.00012843418990943236,0.16704876404581098,0.019193821314441913,0.14785494273136907,1.89896297938089e-05
uncalibrated,binary_class,acceptor,3,0.2,0.26666666666666666,1305,36278.67452399999,8.907581337279222e-05,0.23177161617735492,0.03475871201319087,0.19701290416416406,1.7549084683358878e-05
uncalibrated,binary_class,acceptor,4,0.26666666666666666,0.3333333333333333,1595,15421.801556,3.786548255410273e-05,0.30054561448253975,0.10232267574381178,0.19822293873872798,7.505807228634279e-06
uncalibrated,binary_class,acceptor,5,0.3333333333333333,0.4,1893,11653.095216000002,2.8612096453223616e-05,0.36615917594296926,0.16141634176449002,0.20474283417847924,5.858121719621017e-06
uncalibrated,binary_class,acceptor,6,0.4,0.4666666666666667,2386,12959.436484,3.181958439252429e-05,0.43247347843735,0.18310981368130913,0.24936366475604088,7.934648175133977e-06
uncalibrated,binary_class,acceptor,7,0.4666666666666667,0.5333333333333333,2963,6216.3650720000005,1.526317546811971e-05,0.5019482347271443,0.4760016449690263,0.025946589758118033,3.9602735227747323e-07
uncalibrated,binary_class,acceptor,8,0.5333333333333333,0.6,3630,5256.682536,1.2906846203187164e-05,0.5715450180188778,0.6901691276111713,0.11862410959229353,1.5310631384977517e-06
uncalibrated,binary_class,acceptor,9,0.6,0.6666666666666666,4923,4923.0,1.2087548263213285e-05,0.6342938191708196,1.0,0.3657061808291804,4.420491110928122e-06
uncalibrated,binary_class,acceptor,10,0.6666666666666666,0.7333333333333333,6307,8747.023804,2.147675652860562e-05,0.699337014705818,0.7207022801420971,0.021365265436279146,4.5885660394400015e-07
uncalibrated,binary_class,acceptor,11,0.7333333333333333,0.8,8560,9373.341268,2.3014567329782413e-05,0.7705385502957514,0.9131215598881361,0.1425830095923848,3.2814862743469513e-06
uncalibrated,binary_class,acceptor,12,0.8,0.8666666666666667,10476,10476.0,2.5721949137806696e-05,0.8339354135835113,1.0,0.1660645864164887,4.271504845395827e-06
uncalibrated,binary_class,acceptor,13,0.8666666666666667,0.9333333333333333,7343,7343.0,1.802942654819727e-05,0.8944236410918756,1.0,0.10557635890812445,1.903481208160142e-06
