method,type,class,bin,mean_confidence,observed_frequency,weighted_count
logit_unweighted_vector,multiclass,argmax,0,0.5170775970297394,0.46963743993615675,258839.31761600001
logit_unweighted_vector,multiclass,argmax,1,0.5676886773009439,0.5741138182986976,542822.869952
logit_unweighted_vector,multiclass,argmax,2,0.6334726701186861,0.623623045119629,573817.85944
logit_unweighted_vector,multiclass,argmax,3,0.7007316712106075,0.7164700380602815,611904.71152
logit_unweighted_vector,multiclass,argmax,4,0.7672821627493424,0.7500828642907124,820293.5596960001
logit_unweighted_vector,multiclass,argmax,5,0.8355503990221795,0.8177158407772411,1165544.9831840002
logit_unweighted_vector,multiclass,argmax,6,0.9038608055407827,0.89267855455833,2197709.930176
logit_unweighted_vector,multiclass,argmax,7,0.9991434855486074,0.9993745711412132,409989066.768416
logit_unweighted_vector,binary,acceptor,0,0.00031853985323879733,3.0661884064981613e-06,412890479.044592
logit_unweighted_vector,binary,acceptor,1,0.09610929711391338,0.0009112342946453595,908657.6359839999
logit_unweighted_vector,binary,acceptor,2,0.1646200890153985,0.0016089199707930927,437560.60760000005
logit_unweighted_vector,binary,acceptor,3,0.23250765418489275,0.0024079358348345656,294443.061872
logit_unweighted_vector,binary,acceptor,4,0.297563788777025,0.0032906797478965163,227916.43595200003
logit_unweighted_vector,binary,acceptor,5,0.36515925000129373,0.0039111071358430135,193807.015168
logit_unweighted_vector,binary,acceptor,6,0.4321100916537949,0.005082992118790822,169781.888272
logit_unweighted_vector,binary,acceptor,7,0.5014589342743896,0.0073098677356933026,131602.928368
logit_unweighted_vector,binary,acceptor,8,0.5668249719239588,0.008772463957227068,126760.28142400002
logit_unweighted_vector,binary,acceptor,9,0.6332422087997069,0.011425374135695773,118683.20318400001
logit_unweighted_vector,binary,acceptor,10,0.6987589306243982,0.015900193218306984,98929.61540800001
logit_unweighted_vector,binary,acceptor,11,0.7647172639523347,0.01980238084759912,112057.23276800002
logit_unweighted_vector,binary,acceptor,12,0.8321106613938344,0.02860118634639041,113072.232768
logit_unweighted_vector,binary,acceptor,13,0.8999253861419064,0.04152972614696261,143246.79096
logit_unweighted_vector,binary,acceptor,14,0.9704369807549238,0.15927812100256913,193002.02568000002
logit_unweighted_vector,binary,donor,0,0.00050824807503694,1.293162019691941e-06,412941295.72967994
logit_unweighted_vector,binary,donor,1,0.09533761939036685,0.0003620314867596784,1041345.887824
logit_unweighted_vector,binary,donor,2,0.1634692235115369,0.0007848508277079274,509650.988288
logit_unweighted_vector,binary,donor,3,0.23154923262271807,0.0013513382366363254,317463.080944
logit_unweighted_vector,binary,donor,4,0.3004054735001769,0.0023786349930700196,208522.956
logit_unweighted_vector,binary,donor,5,0.36690180377018716,0.0032557077258166946,162791.02568000002
logit_unweighted_vector,binary,donor,6,0.43194831821151375,0.004636143356780616,141281.22225599998
logit_unweighted_vector,binary,donor,7,0.5003048673835289,0.005941696431878927,127236.389248
logit_unweighted_vector,binary,donor,8,0.5679175811539566,0.00939052287478991,104999.478
logit_unweighted_vector,binary,donor,9,0.6316781303232869,0.011975243873702182,98536.615408
logit_unweighted_vector,binary,donor,10,0.7013040040000832,0.02150630242532285,76535.70416
logit_unweighted_vector,binary,donor,11,0.7657723492590794,0.023896974984741425,96330.184112
logit_unweighted_vector,binary,donor,12,0.8352080593118345,0.03556867694249047,105261.15452800001
logit_unweighted_vector,binary,donor,13,0.9010126362648391,0.0679975698958587,104459.61540800001
logit_unweighted_vector,binary,donor,14,0.9673321146578441,0.25686706976072016,124289.96846400002
logit_weighted_vector,multiclass,argmax,0,0.5112916146016359,0.4819574083162612,8507.646944
logit_weighted_vector,multiclass,argmax,1,0.5640925956884121,0.4767952454136853,9629.323472
logit_weighted_vector,multiclass,argmax,2,0.6362897546589807,0.6454840486042587,16761.186064
logit_weighted_vector,multiclass,argmax,3,0.7011981436875315,0.7229267958648998,23473.940832
logit_weighted_vector,multiclass,argmax,4,0.7705227432592494,0.6961473881188601,27467.264304000004
logit_weighted_vector,multiclass,argmax,5,0.8374170810834043,0.8104647055396308,61239.253792
logit_weighted_vector,multiclass,argmax,6,0.9072866597703519,0.9042896753153788,183355.349152
logit_weighted_vector,multiclass,argmax,7,0.9998807171278566,0.9999102565015859,415829566.03544
logit_weighted_vector,binary,acceptor,0,6.674672838683323e-05,5.116268128712368e-05,415986798.66991997
logit_weighted_vector,binary,acceptor,1,0.09276235528324761,0.09362200154452101,94561.10587200001
logit_weighted_vector,binary,acceptor,2,0.16333128997249283,0.14924549441280005,38145.205136000004
logit_weighted_vector,binary,acceptor,3,0.23443303060939102,0.36675388956804805,10513.862592000001
logit_weighted_vector,binary,acceptor,4,0.29846702080929544,0.2684816698016839,11375.07824
logit_weighted_vector,binary,acceptor,5,0.36188212420187804,0.32226330622965166,7366.646944000001
logit_weighted_vector,binary,acceptor,6,0.4325541208944912,1.0,1968.0
logit_weighted_vector,binary,acceptor,7,0.4990463523461364,0.37643723035129245,4003.3234720000005
logit_weighted_vector,binary,acceptor,8,0.5556550710430274,0.6022634137426752,2092.107824
logit_weighted_vector,binary,acceptor,9,0.6326618916198109,1.0,1068.0
logit_weighted_vector,binary,acceptor,10,0.6991078728654733,1.0,768.0
logit_weighted_vector,binary,acceptor,11,0.7649731269875484,1.0,586.0
logit_weighted_vector,binary,acceptor,12,0.8316593504121118,1.0,423.0
logit_weighted_vector,binary,acceptor,13,0.8937499893199112,1.0,269.0
logit_weighted_vector,binary,acceptor,14,0.9528831531924586,1.0,62.0
logit_weighted_vector,binary,donor,0,5.2453709260505695e-05,3.856709266542083e-05,416002319.36552
logit_weighted_vector,binary,donor,1,0.0925291879017952,0.09902756810883183,87743.24328
logit_weighted_vector,binary,donor,2,0.16092271702164643,0.2721868328336154,21724.048656000003
logit_weighted_vector,binary,donor,3,0.2255366766447732,0.2933221512361653,15307.401712
logit_weighted_vector,binary,donor,4,0.29884986081848836,0.3412870468603339,10105.862592000001
logit_weighted_vector,binary,donor,5,0.3599418834388109,0.4511552471217904,6064.431296000001
logit_weighted_vector,binary,donor,6,0.4337782489133875,0.5735203284183027,3902.2156480000003
logit_weighted_vector,binary,donor,7,0.5008552293084785,0.44579391610798597,4504.323472
logit_weighted_vector,binary,donor,8,0.5657431263729135,1.0,1667.0
logit_weighted_vector,binary,donor,9,0.6219477535943749,0.6321537748237769,2262.107824
logit_weighted_vector,binary,donor,10,0.6997744290072934,1.0,1224.0
logit_weighted_vector,binary,donor,11,0.7658358384819103,1.0,1061.0
logit_weighted_vector,binary,donor,12,0.8320902398420614,1.0,947.0
logit_weighted_vector,binary,donor,13,0.8984729429850211,1.0,780.0
logit_weighted_vector,binary,donor,14,0.9590839951001492,1.0,388.0
