method,expected_weighted_multiclass_ece,weighted_multiclass_ece,difference_weighted_multiclass_ece,expected_acceptor_ece,acceptor_ece,difference_acceptor_ece,expected_donor_ece,donor_ece,difference_donor_ece
uncalibrated,0.0014298000797494,0.0014298000797494162,1.6263032587282567e-17,0.0006965899662177,0.0006965899662177842,8.42425088021237e-17,0.0007397722848927,0.0007397722848927867,8.673617379884035e-17
global_T_1.1,0.0023711402116582,0.0023711402116582915,9.150666335777657e-17,0.0011422682901301,0.001142268290130112,1.214306433183765e-17,0.0012345639131042,0.0012345639131042152,1.5178830414797062e-17
true_logit_unweighted_vector_T,0.0001251607910031,0.00012516079100316352,6.353424730765056e-17,0.0006122168384195,0.0006122168384195068,6.830473686658678e-18,0.0005489070890673,0.0005489070890673873,8.727827488508311e-17
true_logit_target_weighted_vector_T,1.6150185014728384e-05,1.615018501472838e-05,-3.3881317890172014e-21,2.138656666824861e-05,2.1386566668248612e-05,3.3881317890172014e-21,1.6417544443193598e-05,1.6417544443193598e-05,0.0
openspliceai_style_full_validation_vector_T_v2,1.240788756644602e-05,1.240788756644602e-05,0.0,2.020786191403187e-05,2.020786191403187e-05,0.0,1.5409538469578663e-05,1.5409538469578663e-05,0.0
