method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
uncalibrated,binary_class,acceptor,0,0.0,0.06666666666666667,554049,406885519.6925917,0.9990348074115015,0.0005807077407921933,1.1674045327513002e-06,0.000579540336259442,0.0005789809682221485
uncalibrated,binary_class,acceptor,1,0.06666666666666667,0.13333333333333333,1197,207785.68207199915,0.0005101806744769411,0.09101664369003998,0.004528704724100947,0.08648793896593904,4.4124475035763295e-05
uncalibrated,binary_class,acceptor,2,0.13333333333333333,0.2,1299,64739.618903999864,0.00015895658501810552,0.16086065426907425,0.018844720136661535,0.14201593413241273,2.2574367907844538e-05
uncalibrated,binary_class,acceptor,3,0.2,0.26666666666666666,1632,30098.94438,7.390258843490194e-05,0.22786511711319613,0.053058339184186364,0.17480677792900975,1.2918673364918909e-05
uncalibrated,binary_class,acceptor,4,0.26666666666666666,0.3333333333333333,1816,15642.801556,3.840810862888846e-05,0.30769696385011464,0.11500497487996132,0.19269198897015333,7.400934844282226e-06
uncalibrated,binary_class,acceptor,5,0.3333333333333333,0.4,2182,11942.095216000002,2.9321684397174183e-05,0.36015246867665596,0.18171015728401138,0.17844231139264458,5.232229137757403e-06
uncalibrated,binary_class,acceptor,6,0.4,0.4666666666666667,2491,10624.412680000001,2.6086349997520865e-05,0.4304724702599009,0.23351879061233902,0.19695367964756186,5.1378026205859e-06
uncalibrated,binary_class,acceptor,7,0.4666666666666667,0.5333333333333333,3014,8707.388876,2.1379440033560123e-05,0.5012196715805048,0.34533888893927006,0.15588078264123478,3.3326438448626987e-06
uncalibrated,binary_class,acceptor,8,0.5333333333333333,0.6,3662,4475.341268,1.0988402106703258e-05,0.5626192904480156,0.8180381742454417,0.25541888379742606,2.806645400811431e-06
uncalibrated,binary_class,acceptor,9,0.6,0.6666666666666666,4390,6016.682536,1.4772890623264779e-05,0.637322942889754,0.7293055556355184,0.09198261274576436,1.3588490773352976e-06
uncalibrated,binary_class,acceptor,10,0.6666666666666666,0.7333333333333333,5485,5485.0,1.3467439005428574e-05,0.7014116824903917,1.0,0.29858831750960835,4.021219953794191e-06
uncalibrated,binary_class,acceptor,11,0.7333333333333333,0.8,7230,8043.341268,1.9748989594646585e-05,0.7679674413131787,0.8987558477420555,0.1307884064288768,2.5829388776642964e-06
uncalibrated,binary_class,acceptor,12,0.8,0.8666666666666667,9044,9044.0,2.2205928598923614e-05,0.8342601846381773,1.0,0.1657398153618227,3.680406505923418e-06
uncalibrated,binary_class,acceptor,13,0.8666666666666667,0.9333333333333333,8883,8883.0,2.1810621820459804e-05,0.8979476485770927,1.0,0.10205235142290725,2.225825242773693e-06
