method,bin,bin_low,bin_high,count,confidence_sum,correct_sum,mean_confidence,observed_accuracy,gap
openspliceai_style_vectorT,12,0.8,0.8666666666666667,22441,18753.702348706815,18835.0,0.8356892450740526,0.8393119736197139,0.003622728545661258
openspliceai_style_vectorT,13,0.8666666666666667,0.9333333333333332,43172,39053.505748536874,39022.0,0.9046026533062372,0.9038728805707403,0.000729772735496903
openspliceai_style_vectorT,14,0.9333333333333332,1.0,416021893,416015072.85195416,416014338.0,0.9999836062761105,0.9999818398980267,1.766378083800646e-06
uncalibrated,7,0.4666666666666667,0.5333333333333333,12526,6473.151348862204,6985.0,0.5167772113094526,0.5576401085741657,0.04086289726471304
uncalibrated,8,0.5333333333333333,0.6,26152,14828.107801419323,17423.0,0.5669970863191849,0.666220556745182,0.0992234704259971
uncalibrated,9,0.6,0.6666666666666666,32648,20722.00869080959,26344.0,0.6347098961899532,0.8069100710610144,0.1722001748710612
uncalibrated,10,0.6666666666666666,0.7333333333333333,45868,32197.770169291838,41307.0,0.7019658622414721,0.9005624836487311,0.1985966214072591
uncalibrated,11,0.7333333333333333,0.8,73068,56234.585161307536,69785.0,0.76961987684496,0.9550692505611211,0.1854493737161611
uncalibrated,12,0.8,0.8666666666666667,137671,115304.18297233613,135386.0,0.8375342880660134,0.9834024594867474,0.14586817142073405
uncalibrated,13,0.8666666666666667,0.9333333333333332,399924,362974.1161358283,398532.0,0.9076077358093746,0.9965193386743482,0.08891160286497357
uncalibrated,14,0.9333333333333332,1.0,415412143,414855697.1235356,415411479.0,0.9986604968443005,0.9999984015874086,0.0013379047431081315
unweighted_vectorT,7,0.4666666666666667,0.5333333333333333,39094,20196.73359735934,19928.0,0.5166197779034977,0.5097457410344298,0.0068740368690678455
unweighted_vectorT,8,0.5333333333333333,0.6,80034,45374.70949248179,44694.0,0.5669429179159081,0.558437663992803,0.008505253923105083
unweighted_vectorT,9,0.6,0.6666666666666666,85769,54372.252503776326,53247.0,0.6339382819407516,0.6208187107229884,0.013119571217763193
unweighted_vectorT,10,0.6666666666666666,0.7333333333333333,98456,69011.39320773422,67274.0,0.7009363899379847,0.6832899975623629,0.017646392375621822
unweighted_vectorT,11,0.7333333333333333,0.8,125208,96190.19425658973,93490.0,0.7682431973722904,0.7466775285924222,0.021565668779868208
unweighted_vectorT,12,0.8,0.8666666666666667,178537,149232.58951673144,145412.0,0.8358636558065355,0.814464228703294,0.021399427103241497
unweighted_vectorT,13,0.8666666666666667,0.9333333333333332,341854,309315.70221978263,303281.0,0.9048181452309543,0.8871652810849076,0.01765286414604672
unweighted_vectorT,14,0.9333333333333332,1.0,415191048,415127769.97934324,415123125.0,0.9998475930033618,0.9998364054323252,1.1187571036574973e-05
