method,n_chromosomes,mean_ece_difference,sd_ece_difference,min_ece_difference,max_ece_difference,replication_lower_ece_count,mean_nll_difference,sd_nll_difference,min_nll_difference,max_nll_difference,replication_lower_nll_count
fixed_global_T1p1,5,6.859636554582002e-05,1.252628839337914e-05,5.012560119959991e-05,8.373891064260026e-05,0,5.990523677608002e-05,1.5816701180297e-05,3.629694267320025e-05,7.717510199689971e-05,0
genome_weighted_vectorT,5,5.9452267364435165e-06,1.081995779339614e-06,4.7806889467173956e-06,7.3423119685497364e-06,0,-1.1482875088560005e-05,3.99483595361867e-06,-1.5933657256199998e-05,-6.490379279200007e-06,5
openspliceai_style_vectorT,5,-8.671809377318138e-07,1.3564292667944844e-06,-2.8279506232344155e-06,3.2072445735472855e-07,3,-1.3427178515520007e-05,4.622591963296754e-06,-1.9674214997399998e-05,-7.974586776100014e-06,5
uncalibrated,5,3.792161000410006e-05,7.377146016809656e-06,2.706053934529995e-05,4.685939258660017e-05,0,2.8363790892400053e-05,1.0863180844229089e-05,1.224154394629997e-05,3.947362641440011e-05,0
unweighted_vectorT,5,3.575679296078669e-06,2.929467472855748e-06,-1.0112569043878465e-06,6.906178889487477e-06,1,-8.690777636056e-05,2.1394137631742736e-05,-0.00011317525137949976,-6.421739833530017e-05,5
