model_role,model,seed,epoch,ece_osai_minus_genome_weighted,nll_osai_minus_genome_weighted,ece_reduction_percent_osai_vs_genome_weighted,nll_reduction_percent_osai_vs_genome_weighted
primary,seed11_epoch11,11,11,-1.6316495106396586e-05,-8.020931961599982e-06,78.18022900461254,3.180207126814529
replication,seed23_epoch14,23,14,-2.4303942689545397e-05,-9.817576226100002e-06,88.73701711927917,4.084685449389374
