method,primary_ece,replication_ece,primary_nll,replication_nll
Uncalibrated,0.001507295857727,0.0015446963862751,0.0016983585378825,0.0017256793882768
Global T=1.1,0.0025190301130045,0.0025867266800043,0.0027169696651441,0.0027754642280483
Unweighted vector-T,4.692195496973615e-05,5.049395428871417e-05,0.0020622241073681,0.0019745325754215
Genome-weighted vector-T,2.0870359826438897e-05,2.7388730744550885e-05,0.0002522141370595,0.0002403508507018
OpenSpliceAI-style vector-T,4.553864720042312e-06,3.084788055005489e-06,0.0002441932050979,0.0002305332744757
