method,bin,bin_low,bin_high,count,confidence_sum,correct_sum,mean_confidence,observed_accuracy,gap
uncalibrated,9,0.6,0.6666666666666666,29995,19036.61171176939,23594.0,0.6346595003090312,0.7865977662943824,0.1519382659853512
uncalibrated,10,0.6666666666666666,0.7333333333333333,42008,29497.59321855283,37035.0,0.7021898976040951,0.8816177870881737,0.17942788948407862
uncalibrated,11,0.7333333333333333,0.8,66742,51362.45516190194,62854.0,0.7695672164739136,0.9417458272152468,0.17217861074133323
uncalibrated,12,0.8,0.8666666666666667,131106,109834.21555694178,128336.0,0.8377512513305401,0.9788720577242842,0.14112080639374414
uncalibrated,13,0.8666666666666667,0.9333333333333332,403747,366555.1373285705,401873.0,0.9078832470051058,0.9953584794438101,0.08747523243870425
uncalibrated,14,0.9333333333333332,1.0,415429789,414881710.32425314,415428982.0,0.9986806948123144,0.9999980574334788,0.0013173626211644418
unweighted_vectorT,7,0.4666666666666667,0.5333333333333333,41094,21231.632998021185,21259.0,0.5166601693196375,0.5173261303353287,0.0006659610156911633
unweighted_vectorT,8,0.5333333333333333,0.6,85212,48310.5369110493,47881.0,0.5669452296748028,0.5619044266065812,0.005040803068221522
unweighted_vectorT,9,0.6,0.6666666666666666,92431,58592.303342023435,57532.0,0.6339031638954835,0.6224318680962015,0.011471295799281966
unweighted_vectorT,10,0.6666666666666666,0.7333333333333333,104900,73535.51892414062,72150.0,0.7010059001348009,0.6877979027645377,0.013207997370263236
unweighted_vectorT,11,0.7333333333333333,0.8,132201,101551.00628462168,99661.0,0.7681561129236668,0.7538596531039856,0.014296459819681195
unweighted_vectorT,12,0.8,0.8666666666666667,190020,158836.48529462918,155696.0,0.835893512759863,0.8193663824860541,0.01652713027380892
unweighted_vectorT,13,0.8666666666666667,0.9333333333333332,365571,330781.6157002115,325860.0,0.9048354921484787,0.8913726745283406,0.013462817620138123
unweighted_vectorT,14,0.9333333333333332,1.0,415128571,415065198.26888245,415058527.0,0.9998473419187581,0.9998312715508083,1.6070367949816422e-05
