method,total_positions,nonsplice_count,acceptor_count,donor_count,pooled_multiclass_ece,pooled_multiclass_nll,position_weighted_mean_chromosome_ece,min_chromosome_ece,max_chromosome_ece,min_chromosome_nll,max_chromosome_nll
uncalibrated,416140000,416033912,53024,53064,0.001544696386275192,0.001725679388276828,0.0015446963862751162,0.0014749493163425,0.0016248830737171,0.0016383335792779,0.0018150051397016
fixed_global_T1p1,416140000,416033912,53024,53064,0.002586726680004328,0.0027754642280483862,0.002586726680004224,0.0024805752938068,0.0027053616412915,0.0026513725687075,0.0028973281278484
unweighted_vectorT,416140000,416033912,53024,53064,5.049395428871417e-05,0.0019745325754215773,5.049395428864827e-05,4.422693355407176e-05,6.753124695574971e-05,0.001895562398337,0.0020382118473584
genome_weighted_vectorT,416140000,416033912,53024,53064,2.7388730744550885e-05,0.00024035085070180258,2.742272534200676e-05,2.347018874911606e-05,3.3489757671028854e-05,0.0002167174397329,0.0002849632470694
openspliceai_style_vectorT,416140000,416033912,53024,53064,3.084788055005489e-06,0.00023053327447573242,4.548889627269138e-06,1.940328695265197e-06,8.519732158024605e-06,0.0002071971928491,0.0002739365969925
