method,total_positions,nonsplice_count,acceptor_count,donor_count,pooled_multiclass_ece,pooled_multiclass_nll,position_weighted_mean_chromosome_ece,min_chromosome_ece,max_chromosome_ece,min_chromosome_nll,max_chromosome_nll
uncalibrated,416140000,416033912,53024,53064,0.0015072958577270442,0.0016983585378825645,0.001507295857727096,0.0014280899237559,0.0015891260190655,0.0015988599528635,0.0018027635957553
fixed_global_T1p1,416140000,416033912,53024,53064,0.0025190301130045395,0.0027169696651441495,0.0025190301130045864,0.0023968363831642,0.0026402527546651,0.0025741974667106,0.0028610311851752
unweighted_vectorT,416140000,416033912,53024,53064,4.692195496973615e-05,0.0020622241073681566,4.736489263006254e-05,4.1118686514867207e-05,6.062506806626224e-05,0.0019597797966723,0.0021381763643085
genome_weighted_vectorT,416140000,416033912,53024,53064,2.0870359826438897e-05,0.00025221413705959236,2.134565831858298e-05,1.6127876780566322e-05,2.8429058661586024e-05,0.0002265855424539,0.0003001859131259
openspliceai_style_vectorT,416140000,416033912,53024,53064,4.553864720042312e-06,0.0002441932050979378,5.64697356246579e-06,1.6196042379104685e-06,1.134768278125902e-05,0.0002179993701063,0.0002902978534302
