method,pooled_multiclass_ece_primary,pooled_multiclass_nll_primary,pooled_multiclass_ece_replication,pooled_multiclass_nll_replication,pooled_multiclass_ece_replication_minus_primary,pooled_multiclass_ece_percent_change_replication_vs_primary,pooled_multiclass_nll_replication_minus_primary,pooled_multiclass_nll_percent_change_replication_vs_primary
uncalibrated,0.001507295857727,0.0016983585378825,0.0015446963862751,0.0017256793882768,3.740052854809997e-05,2.4812997631732308,2.7320850394300066e-05,1.6086621160902508
fixed_global_T1p1,0.0025190301130045,0.0027169696651441,0.0025867266800043,0.0027754642280483,6.769656699979988e-05,2.687406023862762,5.8494562904199895e-05,2.152933971056961
unweighted_vectorT,4.692195496973615e-05,0.0020622241073681,5.049395428871417e-05,0.0019745325754215,3.5719993189780216e-06,7.612639586909582,-8.769153194660003e-05,-4.252279450777819
genome_weighted_vectorT,2.0870359826438897e-05,0.0002522141370595,2.7388730744550885e-05,0.0002403508507018,6.518370918111988e-06,31.232671464793885,-1.1863286357699981e-05,-4.703656383425211
openspliceai_style_vectorT,4.553864720042312e-06,0.0002441932050979,3.084788055005489e-06,0.0002305332744757,-1.4690766650368235e-06,-32.25999794353078,-1.3659930622200001e-05,-5.593902834734313
