method,total_positions,pooled_multiclass_ece,pooled_multiclass_nll,pooled_multiclass_ece_change_vs_uncalibrated,pooled_multiclass_ece_percent_reduction_vs_uncalibrated,pooled_multiclass_nll_change_vs_uncalibrated,pooled_multiclass_nll_percent_reduction_vs_uncalibrated
uncalibrated,416140000,0.0015072958577270442,0.0016983585378825645,0.0,0.0,0.0,0.0
fixed_global_T1p1,416140000,0.0025190301130045395,0.0027169696651441495,0.0010117342552774954,-67.12247300958947,0.001018611127261585,-59.97621259239775
unweighted_vectorT,416140000,4.692195496973615e-05,0.0020622241073681566,-0.001460373902757308,96.88701095215022,0.00036386556948559204,-21.424543838619783
genome_weighted_vectorT,416140000,2.0870359826438897e-05,0.00025221413705959236,-0.0014864254979006053,98.61537735147029,-0.0014461444008229722,85.14953518742624
openspliceai_style_vectorT,416140000,4.553864720042312e-06,0.0002441932050979378,-0.0015027419930070019,99.69787850894055,-0.0014541653327846268,85.62181072776384
