method,class,auprc,positives,mean_score_positive,mean_score_negative,max_score_negative
uncalibrated,acceptor,0.9996223193433843,53024,0.6732711791992188,0.0007608970045112073,0.6510758996009827
uncalibrated,donor,0.9997278170346005,53064,0.6556728482246399,0.0006523547344841063,0.6407751441001892
global_T_1.1,acceptor,0.9996225073549204,53024,0.6620275974273682,0.001264802529476583,0.6380563378334045
global_T_1.1,donor,0.9997278570334168,53064,0.6449534893035889,0.0011022379621863365,0.628485381603241
logit_unweighted_vector,acceptor,0.9995820799487102,53024,0.9709265828132629,0.0004154170164838433,0.9992921352386475
logit_unweighted_vector,donor,0.9997306091438567,53064,0.9753793478012085,0.0004577835788950324,0.996170699596405
logit_weighted_vector,acceptor,0.9996168726684684,53024,0.7094682455062866,3.1378171115648e-05,0.7303600907325745
logit_weighted_vector,donor,0.9997273674810512,53064,0.7332818508148193,2.467116246407386e-05,0.7687007188796997
