method,metric,bootstrap_mean,bootstrap_std,ci_lower_2.5,ci_upper_97.5,n_bootstrap
uncalibrated,weighted_multiclass_ece,0.0014819032336651872,1.0550783636840338e-05,0.001462024157871261,0.001503228579918402,200
uncalibrated,weighted_multiclass_nll,0.0016709371533008498,1.3623417740994599e-05,0.0016455416151897957,0.001697845329027103,200
uncalibrated,weighted_multiclass_brier,0.0002097252475539299,7.905818704284364e-06,0.00019659963797007327,0.0002268258747596148,200
uncalibrated,acceptor_ece,0.0008109071218670791,8.401160368146168e-06,0.0007956000694052236,0.0008280353204842343,200
uncalibrated,acceptor_nll,0.0009076793089346511,1.0595099622750458e-05,0.0008886811934757248,0.0009288610576871369,200
uncalibrated,acceptor_brier,5.723684831345216e-05,3.089540105317561e-06,5.194671740701464e-05,6.380255331542294e-05,200
uncalibrated,sampled_acceptor_auprc,0.9995474773353572,3.648446456979887e-05,0.9994761907358198,0.9996180857999524,200
uncalibrated,target_weighted_acceptor_auprc,0.8940578198962358,0.0159022753917033,0.8637714820451299,0.922515082092308,200
uncalibrated,donor_ece,0.000677639776813402,6.403584246831931e-06,0.0006656850528711609,0.000688953525548826,200
uncalibrated,donor_nll,0.0007629057674578044,9.036269970076794e-06,0.0007459936954512222,0.0007809916814689589,200
uncalibrated,donor_brier,4.727999093283007e-05,2.5455388873315585e-06,4.281298760786652e-05,5.254635247373127e-05,200
uncalibrated,sampled_donor_auprc,0.9996921081199435,3.31125978497123e-05,0.9996182440601197,0.9997563415309432,200
uncalibrated,target_weighted_donor_auprc,0.922987735527351,0.012543677255192483,0.8964480841043713,0.9463304345874343,200
global_T_1.1,weighted_multiclass_ece,0.0024662993101972315,1.1892117705027757e-05,0.0024428506064494413,0.002490254127528841,200
global_T_1.1,weighted_multiclass_nll,0.0026634133760873886,1.4848386054290797e-05,0.0026359093096541193,0.002692216427792633,200
global_T_1.1,weighted_multiclass_brier,0.00024933311099597773,8.085959021817424e-06,0.00023482246621111714,0.0002672093150254833,200
global_T_1.1,acceptor_ece,0.0013352580873746815,9.78289028302772e-06,0.0013181586739332795,0.0013564808973606356,200
global_T_1.1,acceptor_nll,0.0014378588898795307,1.1557296353816947e-05,0.0014160958016572868,0.0014608455231238623,200
global_T_1.1,acceptor_brier,6.772712540952647e-05,3.1506025186158984e-06,6.225437661747115e-05,7.42623432821733e-05,200
global_T_1.1,sampled_acceptor_auprc,0.9995476707637662,3.648143618658934e-05,0.9994763310633357,0.9996182574454557,200
global_T_1.1,target_weighted_acceptor_auprc,0.8940582741944434,0.015902216734224994,0.863767995115512,0.922512633796472,200
global_T_1.1,donor_ece,0.0011356721929240243,7.297697121703838e-06,0.0011210473877032161,0.0011482239922256563,200
global_T_1.1,donor_nll,0.0012244317029376844,9.887045982407349e-06,0.0012059343792031438,0.0012433313670159414,200
global_T_1.1,donor_brier,5.584027667259647e-05,2.611931922979449e-06,5.1185640990536594e-05,6.123555565855384e-05,200
global_T_1.1,sampled_donor_auprc,0.9996921360075706,3.31117484322266e-05,0.9996183199413157,0.9997564103502646,200
global_T_1.1,target_weighted_donor_auprc,0.9229879290589832,0.01254622459806192,0.8964343941086342,0.9463304786000222,200
true_logit_unweighted_vector_T,weighted_multiclass_ece,0.00012642635106410198,2.7069178947015976e-05,7.518401694619997e-05,0.00017274273789605964,200
true_logit_unweighted_vector_T,weighted_multiclass_nll,0.002147345124267102,0.0001028933641337797,0.0019643157368830575,0.002347079221097193,200
true_logit_unweighted_vector_T,weighted_multiclass_brier,0.0011496002456767226,5.320870148550675e-05,0.001056141378962817,0.0012546456076578804,200
true_logit_unweighted_vector_T,acceptor_ece,0.000504905574300251,2.3971476080733184e-05,0.00045631724583736525,0.0005518481997752239,200
true_logit_unweighted_vector_T,acceptor_nll,0.0011173983548936515,8.069640769493661e-05,0.0009759439348622778,0.0012809727626990344,200
true_logit_unweighted_vector_T,acceptor_brier,0.000287890986802958,1.9493294899760066e-05,0.00024976154633868944,0.00032887798561916255,200
true_logit_unweighted_vector_T,sampled_acceptor_auprc,0.9995019525945007,3.8479304378448534e-05,0.9994201490197494,0.9995730472707536,200
true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,0.8830068716086291,0.013771354192524073,0.8594730629004569,0.9073081712180405,200
true_logit_unweighted_vector_T,donor_ece,0.0005853835390299852,2.378969967409114e-05,0.0005377144852646789,0.0006360469876982727,200
true_logit_unweighted_vector_T,donor_nll,0.0010299489224321243,6.311111984244384e-05,0.0009117501042146684,0.0011564922450896518,200
true_logit_unweighted_vector_T,donor_brier,0.0002869107460214875,1.7947205884523076e-05,0.0002508090169972303,0.00032155004181082253,200
true_logit_unweighted_vector_T,sampled_donor_auprc,0.9996739716784588,3.406869949041475e-05,0.9996091418832859,0.9997385010431208,200
true_logit_unweighted_vector_T,target_weighted_donor_auprc,0.9178739227124677,0.013776703784539896,0.889220619978309,0.9411088419674296,200
true_logit_target_weighted_vector_T,weighted_multiclass_ece,2.44909862841919e-05,5.698064961300714e-06,1.4876885222486358e-05,3.608445633891027e-05,200
true_logit_target_weighted_vector_T,weighted_multiclass_nll,0.00024392419587479215,1.4961120186738301e-05,0.0002211578287067918,0.0002763546354084914,200
true_logit_target_weighted_vector_T,weighted_multiclass_brier,0.00012974076531385,1.0000647886640722e-05,0.0001140229878816465,0.00015094524502297322,200
true_logit_target_weighted_vector_T,acceptor_ece,2.149196283477657e-05,3.537769480416054e-06,1.5109520052066054e-05,2.9419458694832223e-05,200
true_logit_target_weighted_vector_T,acceptor_nll,0.0001326050835558686,1.007210490292489e-05,0.0001148742471297105,0.00015213236348615952,200
true_logit_target_weighted_vector_T,acceptor_brier,3.4637850376482224e-05,3.2763606376607487e-06,2.891452993615002e-05,4.151609074131937e-05,200
true_logit_target_weighted_vector_T,sampled_acceptor_auprc,0.9995433345402983,3.6820872838130904e-05,0.9994720154064111,0.9996143860237258,200
true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,0.8935141262633164,0.01615945181919827,0.8624018403403596,0.9225445588540749,200
true_logit_target_weighted_vector_T,donor_ece,2.0641576329427102e-05,4.278692774100794e-06,1.273056975903323e-05,2.9714160237871424e-05,200
true_logit_target_weighted_vector_T,donor_nll,0.00011131937558335848,1.1455621257636979e-05,9.093914767670927e-05,0.00013493329223982907,200
true_logit_target_weighted_vector_T,donor_brier,3.02327765795075e-05,3.981530188326823e-06,2.301140138763463e-05,3.805765235701654e-05,200
true_logit_target_weighted_vector_T,sampled_donor_auprc,0.9996942215636673,3.300152449892948e-05,0.9996210359158024,0.9997590889364661,200
true_logit_target_weighted_vector_T,target_weighted_donor_auprc,0.9233031007662192,0.012608858489469268,0.8969330429574124,0.9463163436264763,200
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,2.243498932144864e-05,5.126460004650299e-06,1.3574277632908861e-05,3.356757240825818e-05,200
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,0.0002447200654841536,1.4431381898508837e-05,0.00022312100491308888,0.00027576307930754637,200
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,0.00013069141108740712,9.627596516606628e-06,0.00011491955917786406,0.00015088198741427882,200
openspliceai_style_full_validation_vector_T_v2,acceptor_ece,2.0792720992020034e-05,4.1061536337611425e-06,1.3882577633609454e-05,2.9260376732517084e-05,200
openspliceai_style_full_validation_vector_T_v2,acceptor_nll,0.00013369141157067166,1.1483833478090397e-05,0.00011381298949252217,0.00015677846565999233,200
openspliceai_style_full_validation_vector_T_v2,acceptor_brier,3.502712052223104e-05,3.6267139668134625e-06,2.876006627561866e-05,4.258489596678715e-05,200
openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,0.9995468176575989,3.647385757562558e-05,0.9994758486196705,0.9996172610658849,200
openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,0.8941213049745197,0.01586676004335215,0.8640016153511965,0.9225205554384349,200
openspliceai_style_full_validation_vector_T_v2,donor_ece,2.1496367050502855e-05,3.893028922958458e-06,1.4628181218962589e-05,2.8863095382292764e-05,200
openspliceai_style_full_validation_vector_T_v2,donor_nll,0.00011102894713651189,9.17955971746722e-06,9.488897046356036e-05,0.0001297792507503444,200
openspliceai_style_full_validation_vector_T_v2,donor_brier,3.0318855591395072e-05,3.373670486540059e-06,2.4145885825189263e-05,3.693340381097672e-05,200
openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,0.9996926065362277,3.309612008805058e-05,0.9996189095202159,0.9997572180954162,200
openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,0.9230807196005729,0.01255904526133505,0.8965886852239836,0.9463481272935245,200
