method,weighted_multiclass_ece,weighted_multiclass_nll,weighted_multiclass_brier,acceptor_ece,acceptor_nll,acceptor_brier,sampled_acceptor_auprc,target_weighted_acceptor_auprc,donor_ece,donor_nll,donor_brier,sampled_donor_auprc,target_weighted_donor_auprc
uncalibrated,0.001480295237172326,0.0016705572706194455,0.0002094794927159932,0.0008080920239975683,0.0009080733741484911,5.726797430956281e-05,0.9995470529688262,0.8936845373984325,0.0006746227839546249,0.000762131395386164,4.7125676197796216e-05,0.999690551615223,0.9228817277165514
global_T_1.1,0.0024654088609660668,0.0026631443497013366,0.00024906457342039516,0.0013343252431878155,0.0014384257690433632,6.776825161063495e-05,0.9995472455075368,0.8936856357542032,0.0011331690910891333,0.0012235949524010445,5.5664223394908726e-05,0.9996905807720219,0.9228814137670033
true_logit_unweighted_vector_T,0.00010158718052885116,0.0021446752238984544,0.0011471377804032335,0.0005056477906503347,0.0011201149767474051,0.00028831855609934564,0.9995010044972699,0.8823162503710182,0.0005824271307028544,0.001024562359744527,0.0002852519142824519,0.9996721924950749,0.9175317895210829
true_logit_target_weighted_vector_T,2.0063521542095516e-05,0.00024317233996057786,0.00012930525474742346,1.5298082875505847e-05,0.00013240645286961364,3.462599583157211e-05,0.9995429634759551,0.8931454132240935,1.537947705311249e-05,0.00011076614414264906,3.0026870059361468e-05,0.9996926222134835,0.9231777884213419
openspliceai_style_full_validation_vector_T_v2,1.60181413609639e-05,0.00024408823865967576,0.00013035193370497205,1.3342966432569724e-05,0.00013352405430781523,3.50467400120372e-05,0.9995464093144548,0.8937471432648564,1.8166595510034817e-05,0.00011056447075209835,3.012949109092519e-05,0.999691033506001,0.9229694936388184
