reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
uncalibrated,true_logit_target_weighted_vector_T,donor_nll,lower_is_better,-0.0006515863918744458,0.0006515863918744458,0.0006367352670722596,0.0006652141364098091,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,donor_brier,lower_is_better,-1.704721435332257e-05,1.704721435332257e-05,1.3096816391597948e-05,2.0638626685354795e-05,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,sampled_donor_auprc,higher_is_better,2.1134437239933577e-06,2.1134437239933577e-06,4.3130935263868687e-07,4.527668242507167e-06,0.995,True,200
uncalibrated,true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,0.00031536523886815606,0.00031536523886815606,-0.0004888842618770289,0.0011670647463759315,0.76,False,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-0.0014594682443437384,0.0014594682443437384,0.0014346760426380075,0.0014823062945986752,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,-0.0014262170878166962,0.0014262170878166962,0.0014038472253895355,0.0014463313161647466,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,-7.90338364665228e-05,7.90338364665228e-05,6.943795992812284e-05,8.808129920320045e-05,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,acceptor_ece,lower_is_better,-0.000790114400875059,0.000790114400875059,0.0007738544672662717,0.0008053275933777409,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,acceptor_nll,lower_is_better,-0.0007739878973639794,0.0007739878973639794,0.0007555315760388102,0.0007929132137264936,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,acceptor_brier,lower_is_better,-2.220972779122111e-05,2.220972779122111e-05,1.8682295855961652e-05,2.5679445550913278e-05,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,higher_is_better,-6.596777584483294e-07,-6.596777584483294e-07,-1.5473854070607862e-06,-6.15026159028752e-08,0.015,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,6.348507828391137e-05,6.348507828391137e-05,-3.061756627584511e-05,0.0002019331491333515,0.9,False,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,donor_ece,lower_is_better,-0.000656143409762899,0.000656143409762899,0.0006407708849430229,0.0006700214623539381,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,donor_nll,lower_is_better,-0.0006518768203212924,0.0006518768203212924,0.0006397550659747567,0.0006631535643360144,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,donor_brier,lower_is_better,-1.6961135341435002e-05,1.6961135341435002e-05,1.3925519292513653e-05,1.976371631121908e-05,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,higher_is_better,4.984162842958106e-07,4.984162842958106e-07,7.406433102097321e-08,1.1456360189260328e-06,0.99,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,9.298407322178903e-05,9.298407322178903e-05,-0.00012359751180752722,0.0003150781566746808,0.79,False,200
global_T_1.1,true_logit_unweighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.00233987295913313,0.00233987295913313,0.0022906836095112518,0.0023884285455178676,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,weighted_multiclass_nll,lower_is_better,-0.0005160682518202864,0.0005160682518202864,0.0003447531794207647,0.0006808616858610817,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0009002671346807449,-0.0009002671346807449,-0.0009878907209035104,-0.0008195373904970987,0.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,acceptor_ece,lower_is_better,-0.0008303525130744305,0.0008303525130744305,0.0007926331030063367,0.000863017792172419,1.0,True,200
