reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
uncalibrated,true_logit_target_weighted_vector_T,donor_nll,lower_is_better,-0.0007124679554848087,0.0007124679554848087,0.0006987342001997135,0.0007269727986368151,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,donor_brier,lower_is_better,-1.7813716923186433e-05,1.7813716923186433e-05,1.5217155033836433e-05,2.0949618064147536e-05,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,sampled_donor_auprc,higher_is_better,1.009593189399416e-07,1.009593189399416e-07,-2.4007296852535108e-06,2.9213165398556137e-06,0.525,False,200
uncalibrated,true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,-0.00040169085381605574,-0.00040169085381605574,-0.0017503743832387759,0.0007275394285688382,0.335,False,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-0.0014127120080122567,0.0014127120080122567,0.0013863725169713996,0.0014337032774290129,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,-0.0013721150114213488,0.0013721150114213488,0.0013506038134517,0.0013893755944155164,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,-7.661857009243813e-05,7.661857009243813e-05,6.756918873535923e-05,8.312574858266469e-05,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,acceptor_ece,lower_is_better,-0.0006726544985769389,0.0006726544985769389,0.0006592233760375596,0.0006860214196826631,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,acceptor_nll,lower_is_better,-0.0006590093002613908,0.0006590093002613908,0.0006442191339269888,0.0006731119759745773,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,acceptor_brier,lower_is_better,-1.9762651138180387e-05,1.9762651138180387e-05,1.6458942590132348e-05,2.2869342741740937e-05,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,higher_is_better,1.2010730949840732e-06,1.2010730949840732e-06,1.7344534415653093e-07,2.2110210311732104e-06,0.99,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,0.00039200840970996854,0.00039200840970996854,8.142613665876875e-05,0.0007227245124241972,0.985,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,donor_ece,lower_is_better,-0.0007219744978183293,0.0007219744978183293,0.0007097413881715037,0.000737203237551069,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,donor_nll,lower_is_better,-0.0007127795674717721,0.0007127795674717721,0.0006998237940862688,0.0007269346168211529,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,donor_brier,lower_is_better,-1.8226084261991307e-05,1.8226084261991307e-05,1.617558234474961e-05,2.069305602119565e-05,1.0,True,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,higher_is_better,-8.069760265350112e-08,-8.069760265350112e-08,-1.0271848121162774e-06,8.858189178034828e-07,0.445,False,200
uncalibrated,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,-0.00013208026899607205,-0.00013208026899607205,-0.0006251728851240368,0.0002850285850439699,0.345,False,200
global_T_1.1,true_logit_unweighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.002226379960773553,0.002226379960773553,0.0021740273262157647,0.0022729744942188088,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,weighted_multiclass_nll,lower_is_better,-0.0002574692007651145,0.0002574692007651145,9.412384216455804e-05,0.0004103166261780908,0.995,True,200
global_T_1.1,true_logit_unweighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0010100574451180344,-0.0010100574451180344,-0.0011010755189534537,-0.0009261618157665092,0.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,acceptor_ece,lower_is_better,-0.0005314505154766278,0.0005314505154766278,0.0004918795292341551,0.0005697976384831146,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,acceptor_nll,lower_is_better,2.2201395251572306e-05,-2.2201395251572306e-05,-0.00016491395966583414,0.00010966588473753722,0.385,False,200
global_T_1.1,true_logit_unweighted_vector_T,acceptor_brier,lower_is_better,0.00027575715797562505,-0.00027575715797562505,-0.00030984729863416094,-0.0002397757131765239,0.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,sampled_acceptor_auprc,higher_is_better,-1.8020986641792413e-05,-1.8020986641792413e-05,-3.9370873471078484e-05,2.8601796522198695e-06,0.045,False,200
global_T_1.1,true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,-0.0001688221475194135,-0.0001688221475194135,-0.007383167559453482,0.008181955293041646,0.495,False,200
global_T_1.1,true_logit_unweighted_vector_T,donor_ece,lower_is_better,-0.0006869691240110631,0.0006869691240110631,0.0006544187707016074,0.000720100340812311,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,donor_nll,lower_is_better,-0.0002786445493833472,0.0002786445493833472,0.00016597871566273911,0.0003931794220539606,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,donor_brier,lower_is_better,0.00023027499392631176,-0.00023027499392631176,-0.00026106190070218226,-0.00020043638685341293,0.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,sampled_donor_auprc,higher_is_better,-4.038549649110157e-05,-4.038549649110157e-05,-6.641000410668729e-05,-9.242449836727172e-06,0.005,True,200
global_T_1.1,true_logit_unweighted_vector_T,target_weighted_donor_auprc,higher_is_better,-0.013548209001503032,-0.013548209001503032,-0.026930145107181534,-0.0019324460213632664,0.015,True,200
global_T_1.1,true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.0023512214646547493,0.0023512214646547493,0.0023228377474138868,0.0023779925250711786,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,-0.0023203382176306196,0.0023203382176306196,0.002294416115988831,0.002341996478100952,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,weighted_multiclass_brier,lower_is_better,-0.00011540049881875458,0.00011540049881875458,0.00010572371202323744,0.00012405342602540942,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,acceptor_ece,lower_is_better,-0.0011170269476326548,0.0011170269476326548,0.0011013119035479402,0.0011352279980053619,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,acceptor_nll,lower_is_better,-0.0011083277675860933,0.0011083277675860933,0.0010909491143904282,0.0011254393356543461,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,acceptor_brier,lower_is_better,-2.9651457519707434e-05,2.9651457519707434e-05,2.5784638735226934e-05,3.3227342907959717e-05,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,sampled_acceptor_auprc,higher_is_better,7.028863412533725e-07,7.028863412533725e-07,-2.360195429845779e-07,1.622033978948556e-06,0.915,False,200
global_T_1.1,true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,0.0003372279404861256,0.0003372279404861256,0.00011755731170726148,0.0005997103264757026,0.99,True,200
global_T_1.1,true_logit_target_weighted_vector_T,donor_ece,lower_is_better,-0.001217086560468285,0.001217086560468285,0.001202685168063163,0.0012328519559095161,1.0,True,200
