method,weighted_multiclass_ece,weighted_multiclass_nll,weighted_multiclass_brier,acceptor_ece,acceptor_nll,acceptor_brier,sampled_acceptor_auprc,target_weighted_acceptor_auprc,donor_ece,donor_nll,donor_brier,sampled_donor_auprc,target_weighted_donor_auprc
uncalibrated,0.0014298000797494164,0.0016255537439647011,0.00021011827189886594,0.0006965899662177842,0.0007968884035805468,5.604339877139071e-05,0.9994882018976019,0.8926196883412945,0.0007397722848927867,0.0008283388321794838,4.869478499539037e-05,0.9996477778229252,0.915186236488755
global_T_1.1,0.0023711402116582915,0.002573949489219041,0.0002492974273890254,0.001142268290130112,0.0012460956324432432,6.573167815451832e-05,0.9994883840449635,0.892617413089228,0.0012345639131042152,0.0013268270503995012,5.7912708074556904e-05,0.9996477959500925,0.915174422822773
true_logit_unweighted_vector_T,0.00012516079100316355,0.0023155379846312844,0.0012606672482420114,0.0006122168384195068,0.0012691507398865012,0.0003424834745050157,0.9994701327865224,0.8923097595898418,0.0005489070890673873,0.0010463875946228856,0.00028785038524615434,0.9996080044759517,0.901448897105808
true_logit_target_weighted_vector_T,1.6150185014728384e-05,0.0002532279777909194,0.00013381776255460382,2.138656666824861e-05,0.00013716522473930873,3.600505264789401e-05,0.9994891008839255,0.8929532982114827,1.6417544443193598e-05,0.00011606286039655863,3.090392281648602e-05,0.9996479302795563,0.9147877975843919
openspliceai_style_full_validation_vector_T_v2,1.2407887566446019e-05,0.0002532358537780609,0.0001334387728489464,2.020786191403187e-05,0.00013742839935824755,3.621234493032657e-05,0.9994894123668282,0.8930084747327205,1.5409538469578663e-05,0.00011580757931056366,3.0507150182284544e-05,0.9996477047395261,0.9150546312091542
