method,metric,bootstrap_mean,bootstrap_std,ci_lower_2.5,ci_upper_97.5,n_bootstrap
uncalibrated,weighted_multiclass_ece,0.0014325654428135872,1.1175163298454046e-05,0.001411549691914453,0.0014529216360170526,200
uncalibrated,weighted_multiclass_nll,0.0016259860695640935,1.2960863982557613e-05,0.0016014447783710686,0.001651746516956978,200
uncalibrated,weighted_multiclass_brier,0.0002104798706787464,7.025823200001966e-06,0.0001970238277379241,0.00022460651490541743,200
uncalibrated,acceptor_ece,0.0006972779454340818,8.289610380226285e-06,0.0006831822223771404,0.0007137997286769572,200
uncalibrated,acceptor_nll,0.0007968535928458411,1.008863947490933e-05,0.0007774961253930672,0.000817343387299867,200
uncalibrated,acceptor_brier,5.613133545967762e-05,2.834346285690848e-06,5.0514224993409176e-05,6.206077364028126e-05,200
uncalibrated,sampled_acceptor_auprc,0.9994882314058533,3.8505806902785086e-05,0.9994119757381151,0.9995606728491337,200
uncalibrated,target_weighted_acceptor_auprc,0.8929235808202952,0.012024872467126692,0.8674963172571356,0.9163154542680043,200
uncalibrated,donor_ece,0.0007421408827675085,6.47983763838162e-06,0.0007299879537683131,0.0007554537469562438,200
uncalibrated,donor_nll,0.0008288064603099516,8.504761764075608e-06,0.0008120716502715258,0.0008441331894431744,200
uncalibrated,donor_brier,4.878816094494804e-05,2.2766627123020668e-06,4.445156842730436e-05,5.3005518908541954e-05,200
uncalibrated,sampled_donor_auprc,0.9996488230944074,3.400663783665605e-05,0.9995827485105516,0.9997072245951182,200
uncalibrated,target_weighted_donor_auprc,0.9155764678996248,0.014408927149662746,0.886581200464522,0.9395337932345534,200
global_T_1.1,weighted_multiclass_ece,0.0023736507327940335,1.2703037973349591e-05,0.0023495683218469326,0.002396787382307192,200
global_T_1.1,weighted_multiclass_nll,0.0025742563927539618,1.4414733539490485e-05,0.002549534008187673,0.0026015256921447885,200
global_T_1.1,weighted_multiclass_brier,0.00024966561394584624,7.257767870818874e-06,0.00023600548470304453,0.0002644829350365565,200
global_T_1.1,acceptor_ece,0.0011426132462075142,9.39979092513962e-06,0.0011257858432685282,0.0011619016156475845,200
global_T_1.1,acceptor_nll,0.0012459075473505521,1.1082793981845706e-05,0.0012247163209104545,0.0012668503683948822,200
global_T_1.1,acceptor_brier,6.580966704514905e-05,2.9192828519751597e-06,5.993409914078112e-05,7.19866513739206e-05,200
global_T_1.1,sampled_acceptor_auprc,0.9994884181574959,3.84965211785785e-05,0.9994121346292804,0.9995609206738658,200
global_T_1.1,target_weighted_acceptor_auprc,0.8929217947026855,0.012026741474426764,0.8674856435999658,0.9163203114216271,200
global_T_1.1,donor_ece,0.0012372525516658693,7.5033670311877774e-06,0.0012236785314786425,0.0012502632778071821,200
global_T_1.1,donor_nll,0.0013273231578156792,9.434867132281108e-06,0.0013078685390072347,0.001343961141378236,200
global_T_1.1,donor_brier,5.8019952381526095e-05,2.3588333746755803e-06,5.354562187369505e-05,6.233108503145434e-05,200
global_T_1.1,sampled_donor_auprc,0.9996488329657166,3.400886474705597e-05,0.9995827741978222,0.999707260594321,200
global_T_1.1,target_weighted_donor_auprc,0.9155641684424777,0.014412065327397992,0.8865592485096563,0.9395301020920294,200
true_logit_unweighted_vector_T,weighted_multiclass_ece,0.00014727077202048095,2.7535482035742576e-05,9.587466901642102e-05,0.00020153187368082958,200
true_logit_unweighted_vector_T,weighted_multiclass_nll,0.0023167871919888474,0.00010164653692469588,0.0021346740970693786,0.0025049359065010468,200
true_logit_unweighted_vector_T,weighted_multiclass_brier,0.0012597230590638809,5.381057394167089e-05,0.001169138698320665,0.0013655615359589152,200
true_logit_unweighted_vector_T,acceptor_ece,0.0006111627307308864,2.639581807309303e-05,0.0005641775329970766,0.000661616972463958,200
true_logit_unweighted_vector_T,acceptor_nll,0.0012681089426021244,7.801168855705258e-05,0.001122412038524873,0.0014281600784609232,200
true_logit_unweighted_vector_T,acceptor_brier,0.00034156682502077415,2.108325836199849e-05,0.0003023324582251779,0.0003788465875452713,200
true_logit_unweighted_vector_T,sampled_acceptor_auprc,0.9994703971708541,3.8977262477291587e-05,0.9993865359238344,0.9995374493177428,200
true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,0.8927529725551661,0.011205295745066412,0.8704911485713349,0.9132827914181824,200
true_logit_unweighted_vector_T,donor_ece,0.0005502834276548064,2.3390531794871968e-05,0.0005060289010392485,0.0005926154334346041,200
true_logit_unweighted_vector_T,donor_nll,0.0010486786084323322,6.818174806816698e-05,0.000921308587675758,0.00117487742446402,200
true_logit_unweighted_vector_T,donor_brier,0.0002882949463078379,1.8104777244846116e-05,0.00025567620810490265,0.0003215478921198001,200
true_logit_unweighted_vector_T,sampled_donor_auprc,0.9996084474692253,3.9959152554067585e-05,0.999537792257433,0.9996849810888004,200
true_logit_unweighted_vector_T,target_weighted_donor_auprc,0.9020159594409745,0.019781601593191377,0.8625849641096496,0.9356259450348542,200
true_logit_target_weighted_vector_T,weighted_multiclass_ece,2.242926813928463e-05,5.558687922687213e-06,1.2672562093626688e-05,3.276441475708137e-05,200
true_logit_target_weighted_vector_T,weighted_multiclass_nll,0.00025391817512334253,1.3663192233932312e-05,0.00022957783850790738,0.0002835917244885952,200
true_logit_target_weighted_vector_T,weighted_multiclass_brier,0.0001342651151270917,8.771577717040064e-06,0.00011808096369780833,0.00015145062374067477,200
true_logit_target_weighted_vector_T,acceptor_ece,2.5586298574859605e-05,4.472605020550776e-06,1.8086151436145866e-05,3.492630142874916e-05,200
true_logit_target_weighted_vector_T,acceptor_nll,0.00013757977976445893,9.941089799827707e-06,0.00011874237776251443,0.0001587188612745976,200
true_logit_target_weighted_vector_T,acceptor_brier,3.615820952544162e-05,3.314608520820402e-06,3.0387203649434585e-05,4.24963962882735e-05,200
true_logit_target_weighted_vector_T,sampled_acceptor_auprc,0.9994891210438371,3.84471090267754e-05,0.9994126026246523,0.9995611517320367,200
true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,0.8932590226431717,0.011973895057820226,0.8679024381250173,0.9164515758676578,200
true_logit_target_weighted_vector_T,donor_ece,2.0165991197584084e-05,4.1368044148466705e-06,1.294650070423151e-05,2.9026692411136317e-05,200
true_logit_target_weighted_vector_T,donor_nll,0.0001163385048251427,1.0285432119224574e-05,9.885587973651125e-05,0.00013641309322099613,200
true_logit_target_weighted_vector_T,donor_brier,3.097444402176161e-05,3.1169181594755295e-06,2.5612869751148796e-05,3.6817049689446144e-05,200
true_logit_target_weighted_vector_T,sampled_donor_auprc,0.9996489240537264,3.432104180274929e-05,0.999583260967048,0.9997069923558851,200
true_logit_target_weighted_vector_T,target_weighted_donor_auprc,0.9151747770458087,0.014901219059349994,0.8854335632697907,0.9394159936956478,200
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,1.9853434801330836e-05,4.974234491485511e-06,1.1362111711862456e-05,2.9087167564372372e-05,200
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,0.0002538710581427446,1.2526509864412177e-05,0.00023093260461321924,0.00027887476957530927,200
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,0.0001338613005863083,8.144137926446913e-06,0.00011891433843941611,0.00015089907884023994,200
openspliceai_style_full_validation_vector_T_v2,acceptor_ece,2.462344685714277e-05,4.602257889921625e-06,1.654864490547701e-05,3.5015819779956316e-05,200
openspliceai_style_full_validation_vector_T_v2,acceptor_nll,0.00013784429258445032,1.0021395486347772e-05,0.00011869968292971454,0.00015923696461450719,200
openspliceai_style_full_validation_vector_T_v2,acceptor_brier,3.6368684321497236e-05,3.3647640863546712e-06,3.0445284430511388e-05,4.271967363156778e-05,200
openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,0.9994894324789482,3.842986616264754e-05,0.9994128378404875,0.9995615372688339,200
openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,0.893315589230005,0.011966085135167512,0.8679652709524948,0.9164854452868837,200
openspliceai_style_full_validation_vector_T_v2,donor_ece,2.0166384949179134e-05,3.519620826723394e-06,1.4265837194153891e-05,2.761539867977444e-05,200
openspliceai_style_full_validation_vector_T_v2,donor_nll,0.00011602689283817934,8.411327872132034e-06,0.00010172406975138336,0.00013293956594111347,200
openspliceai_style_full_validation_vector_T_v2,donor_brier,3.0562076682956734e-05,2.5516029654661704e-06,2.630310547595396e-05,3.53376881869931e-05,200
openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,0.9996487423968048,3.413954705114136e-05,0.9995824338683197,0.9997070627611654,200
openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,0.9154443876306289,0.014591953822352904,0.8861896348736625,0.9395206378602747,200
