bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
0,0.0,0.06666666666666667,553086,415737155.01831996,0.0006448916182006264,1.1305220000826937e-06,0.0006437610962005437,0.0006431069940549044,uncalibrated,binary_class,acceptor
1,0.06666666666666667,0.13333333333333333,1274,242295.26896000002,0.09186617241298023,0.004052906209085396,0.08781326620389483,5.112634312074389e-05,uncalibrated,binary_class,acceptor
2,0.13333333333333333,0.2,1464,72108.16503999999,0.1626999028071967,0.019110179814388468,0.14358972299280823,2.4879833342015802e-05,uncalibrated,binary_class,acceptor
3,0.2,0.26666666666666666,1823,32573.989488000003,0.22461591573615516,0.05482902242164559,0.16978689331450958,1.328968780763892e-05,uncalibrated,binary_class,acceptor
4,0.26666666666666666,0.3333333333333333,2188,12992.401712,0.2948300533959807,0.16740553811472234,0.12742451528125834,3.978158618057937e-06,uncalibrated,binary_class,acceptor
5,0.3333333333333333,0.4,2665,10976.07824,0.36657614536987204,0.24188967515960416,0.12468647021026788,3.288563178819035e-06,uncalibrated,binary_class,acceptor
6,0.4,0.4666666666666667,2973,5466.323472,0.4265612556310573,0.5433267927178387,0.11676553708678139,1.5337326895861198e-06,uncalibrated,binary_class,acceptor
7,0.4666666666666667,0.5333333333333333,3696,5358.215648,0.5039437113315256,0.6894086096327267,0.18546489830120105,2.387929931353864e-06,uncalibrated,binary_class,acceptor
8,0.5333333333333333,0.6,4270,5932.215648,0.5727169512833329,0.719461370464326,0.14674441918099312,2.0917905125964987e-06,uncalibrated,binary_class,acceptor
9,0.6,0.6666666666666666,5255,6086.107824000001,0.6319015513234205,0.8632775087029085,0.23137595737948802,3.383744291841582e-06,uncalibrated,binary_class,acceptor
10,0.6666666666666666,0.7333333333333333,6203,7034.107824000001,0.6987835441177573,0.8817038571457644,0.18292031302800704,3.0917945142224952e-06,uncalibrated,binary_class,acceptor
11,0.7333333333333333,0.8,7399,8230.107824,0.7641100812448391,0.8988946631326661,0.13478458188782694,2.6655412388253875e-06,uncalibrated,binary_class,acceptor
12,0.8,0.8666666666666667,7687,7687.0,0.8331318149595517,1.0,0.1668681850404483,3.082265807396016e-06,uncalibrated,binary_class,acceptor
13,0.8666666666666667,0.9333333333333333,5521,5521.0,0.895128364462276,1.0,0.10487163553772405,1.3912829195592428e-06,uncalibrated,binary_class,acceptor
14,0.9333333333333333,1.0,584,584.0,0.9453105505644461,1.0,0.05468944943555387,7.67460555323997e-08,uncalibrated,binary_class,acceptor
0,0.0,0.06666666666666667,552887,415743604.88091195,0.0007605703104758871,7.264092494856455e-07,0.0007598439012264014,0.0007590836280340247,uncalibrated,binary_class,donor
1,0.06666666666666667,0.13333333333333333,986,227047.32812800002,0.09137566024806923,0.0031403144264179127,0.08823534582165132,4.813917607472132e-05,uncalibrated,binary_class,donor
2,0.13333333333333333,0.2,1155,71799.16504,0.1617125814857721,0.014888752528033575,0.14682382895773854,2.533119071304643e-05,uncalibrated,binary_class,donor
3,0.2,0.26666666666666666,1540,29797.666016000003,0.23402690827453598,0.05054087119411788,0.1834860370804181,1.3137869212614598e-05,uncalibrated,binary_class,donor
4,0.26666666666666666,0.3333333333333333,1695,13330.509536000001,0.3016612120127188,0.1261017064246748,0.17555950558804398,5.623552632105118e-06,uncalibrated,binary_class,donor
5,0.3333333333333333,0.4,2156,10467.07824,0.36474239259056845,0.20502378512840846,0.15971860746216,4.017174069324963e-06,uncalibrated,binary_class,donor
6,0.4,0.4666666666666667,2702,11013.07824,0.42930674013570486,0.24443665443350196,0.1848700857022029,4.8923219869133654e-06,uncalibrated,binary_class,donor
7,0.4666666666666667,0.5333333333333333,3387,8373.646944,0.49765418228062563,0.4037667246554502,0.09388745762517542,1.8891301966142339e-06,uncalibrated,binary_class,donor
8,0.5333333333333333,0.6,4237,7561.431296000001,0.5699853025116269,0.5598146480864354,0.010170654425191494,1.8479600315129726e-07,uncalibrated,binary_class,donor
9,0.6,0.6666666666666666,5179,6010.107824000001,0.6369255520401592,0.8615486030588059,0.22462305101864666,3.2439656775709333e-06,uncalibrated,binary_class,donor
10,0.6666666666666666,0.7333333333333333,6642,7473.107824000001,0.6986993173559112,0.8886530418673108,0.18995372451139958,3.4110550385526746e-06,uncalibrated,binary_class,donor
11,0.7333333333333333,0.8,7994,7994.0,0.7678305818678189,1.0,0.23216941813218106,4.459732623386811e-06,uncalibrated,binary_class,donor
12,0.8,0.8666666666666667,8822,8822.0,0.8336879657415752,1.0,0.16631203425842478,3.525578542454401e-06,uncalibrated,binary_class,donor
13,0.8666666666666667,0.9333333333333333,6132,6132.0,0.8951132011322285,1.0,0.10488679886777152,1.5454773420251226e-06,uncalibrated,binary_class,donor
14,0.9333333333333333,1.0,574,574.0,0.9436668659991316,1.0,0.05633313400086837,7.769900739258565e-08,uncalibrated,binary_class,donor
0,0.0,0.06666666666666667,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
1,0.06666666666666667,0.13333333333333333,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
2,0.13333333333333333,0.2,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
3,0.2,0.26666666666666666,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
4,0.26666666666666666,0.3333333333333333,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
5,0.3333333333333333,0.4,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
6,0.4,0.4666666666666667,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
7,0.4666666666666667,0.5333333333333333,3672,5334.215648,0.5146427508494912,0.35075447328446663,0.16388827756502455,2.100671411743371e-06,true-logit genome-weighted vector T,multiclass,argmax
8,0.5333333333333333,0.6,7086,12072.646944,0.5662890621317085,0.5241869079212261,0.042102154210482357,1.221367847378404e-06,true-logit genome-weighted vector T,multiclass,argmax
9,0.6,0.6666666666666666,7477,12463.646944,0.629752993376343,0.6869208634092068,0.05716787003286372,1.7121303071657322e-06,true-logit genome-weighted vector T,multiclass,argmax
10,0.6666666666666666,0.7333333333333333,8531,19335.401712000003,0.6996246864311294,0.7084972137660854,0.008872527334956026,4.1223058492424925e-07,true-logit genome-weighted vector T,multiclass,argmax
11,0.7333333333333333,0.8,9979,22445.617360000004,0.7648221335465339,0.7900162168673803,0.025194083320846383,1.3588445644840354e-06,true-logit genome-weighted vector T,multiclass,argmax
12,0.8,0.8666666666666667,12575,30028.264304000004,0.8355583059401677,0.8638247025334962,0.028266396593328524,2.039578113769113e-06,true-logit genome-weighted vector T,multiclass,argmax
