method_clean,multiclass_ece,multiclass_nll,acceptor_ece,donor_ece,acceptor_auprc,donor_auprc
Uncalibrated,0.0056099525323363,0.0062396704968634,0.0027374311797226,0.002874014075969,0.9909091264341002,0.9949712171749692
Global T=1.1,0.0085376099563765,0.0092115244982042,0.0041207382116414,0.0044130273118655,0.9909104756612566,0.9949744019330552
Unweighted vector T,0.0015654750306537,0.0091734950588193,0.0032049352201847,0.0021821220415445,0.9908351119246016,0.994925380285573
Genome-weighted vector T,0.0003378399023435,0.0010453528622631,0.0001675293585473,0.0001706554951731,0.9909096714916188,0.9949707709918862
