method,class,metric,k,tp,precision,recall
global_T_1.1,donor,threshold_0.5,41278,41272,0.9998546441203546,0.7777777777777778
global_T_1.1,donor,threshold_0.9,1289,1289,1.0,0.02429142167948138
logit_unweighted_vector,acceptor,top_1x_positives,53024,52599,0.9919847616173808,0.9919847616173808
logit_unweighted_vector,acceptor,top_2x_positives,106048,53022,0.4999811406155703,0.9999622812311406
logit_unweighted_vector,acceptor,top_5x_positives,265120,53024,0.2,1.0
logit_unweighted_vector,acceptor,top_10x_positives,530240,53024,0.1,1.0
logit_unweighted_vector,acceptor,threshold_0.001,57350,52993,0.9240278988666085,0.9994153590826795
logit_unweighted_vector,acceptor,threshold_0.01,54579,52946,0.9700800674252001,0.998528968014484
logit_unweighted_vector,acceptor,threshold_0.05,53579,52819,0.985815338098882,0.996133826191913
logit_unweighted_vector,acceptor,threshold_0.1,53261,52712,0.9896922701413793,0.9941158720579361
logit_unweighted_vector,acceptor,threshold_0.5,52190,51995,0.9962636520406208,0.9805936934218467
logit_unweighted_vector,acceptor,threshold_0.9,49959,49896,0.9987389659520807,0.9410078455039228
logit_unweighted_vector,donor,top_1x_positives,53064,52712,0.9933665008291874,0.9933665008291874
logit_unweighted_vector,donor,top_2x_positives,106128,53060,0.4999623096638022,0.9999246193276043
logit_unweighted_vector,donor,top_5x_positives,265320,53064,0.2,1.0
logit_unweighted_vector,donor,top_10x_positives,530640,53064,0.1,1.0
logit_unweighted_vector,donor,threshold_0.001,57482,53049,0.9228802059775234,0.9997173224785165
logit_unweighted_vector,donor,threshold_0.01,54531,53018,0.9722543140598925,0.9991331222674507
logit_unweighted_vector,donor,threshold_0.05,53606,52913,0.987072342648211,0.9971543796170662
logit_unweighted_vector,donor,threshold_0.1,53304,52823,0.9909762869578268,0.9954583144881652
logit_unweighted_vector,donor,threshold_0.5,52253,52123,0.9975121045681588,0.9822666968189356
logit_unweighted_vector,donor,threshold_0.9,50129,50093,0.9992818528197251,0.9440110055781697
logit_weighted_vector,acceptor,top_1x_positives,53024,52619,0.9923619493059747,0.9923619493059747
logit_weighted_vector,acceptor,top_2x_positives,106048,53022,0.4999811406155703,0.9999622812311406
logit_weighted_vector,acceptor,top_5x_positives,265120,53024,0.2,1.0
logit_weighted_vector,acceptor,top_10x_positives,530240,53024,0.1,1.0
logit_weighted_vector,acceptor,threshold_0.001,53669,52842,0.9845907320799717,0.996567592033796
logit_weighted_vector,acceptor,threshold_0.01,52268,52067,0.996154434835846,0.9819515691007845
logit_weighted_vector,acceptor,threshold_0.05,50298,50230,0.998648057576842,0.94730687990344
logit_weighted_vector,acceptor,threshold_0.1,48605,48573,0.999341631519391,0.91605687990344
logit_weighted_vector,acceptor,threshold_0.5,39678,39675,0.9999243913503705,0.7482460772480386
logit_weighted_vector,acceptor,threshold_0.9,22626,22626,1.0,0.42671243210621607
logit_weighted_vector,donor,top_1x_positives,53064,52734,0.9937810945273632,0.9937810945273632
logit_weighted_vector,donor,top_2x_positives,106128,53061,0.49997173224785163,0.9999434644957033
logit_weighted_vector,donor,top_5x_positives,265320,53063,0.19999623096638022,0.9999811548319011
logit_weighted_vector,donor,top_10x_positives,530640,53064,0.1,1.0
logit_weighted_vector,donor,threshold_0.001,53773,52970,0.9850668551131608,0.9982285541987035
logit_weighted_vector,donor,threshold_0.01,52556,52381,0.9966702184336708,0.9871287501884517
logit_weighted_vector,donor,threshold_0.05,50941,50891,0.9990184723503661,0.9590494497210915
logit_weighted_vector,donor,threshold_0.1,49609,49578,0.9993751133866838,0.9343057440072365
logit_weighted_vector,donor,threshold_0.5,41332,41326,0.9998548340269041,0.7787954168551183
logit_weighted_vector,donor,threshold_0.9,22829,22829,1.0,0.43021634252977536
