method,class,metric,k,tp,precision,recall
uncalibrated,acceptor,top_1x_positives,53024,52624,0.9924562462281231,0.9924562462281231
uncalibrated,acceptor,top_2x_positives,106048,53022,0.4999811406155703,0.9999622812311406
uncalibrated,acceptor,top_5x_positives,265120,53024,0.2,1.0
uncalibrated,acceptor,top_10x_positives,530240,53024,0.1,1.0
uncalibrated,acceptor,threshold_0.001,118872,53022,0.44604280234201493,0.9999622812311406
uncalibrated,acceptor,threshold_0.01,56925,52997,0.9309969257795345,0.9994907966203983
uncalibrated,acceptor,threshold_0.05,53256,52726,0.9900480697010665,0.9943799034399518
uncalibrated,acceptor,threshold_0.1,52360,52142,0.9958365164247517,0.9833660229330115
uncalibrated,acceptor,threshold_0.5,41111,41107,0.9999027024397363,0.7752527157513579
uncalibrated,acceptor,threshold_0.9,5539,5539,1.0,0.10446213035606518
uncalibrated,donor,top_1x_positives,53064,52734,0.9937810945273632,0.9937810945273632
uncalibrated,donor,top_2x_positives,106128,53061,0.49997173224785163,0.9999434644957033
uncalibrated,donor,top_5x_positives,265320,53063,0.19999623096638022,0.9999811548319011
uncalibrated,donor,top_10x_positives,530640,53064,0.1,1.0
uncalibrated,donor,threshold_0.001,129767,53061,0.4088944030454584,0.9999434644957033
uncalibrated,donor,threshold_0.01,56777,53051,0.9343748348803212,0.9997550128147144
uncalibrated,donor,threshold_0.05,53340,52853,0.990869891263592,0.9960236695311322
uncalibrated,donor,threshold_0.1,52532,52364,0.996801949288053,0.9868083823307704
uncalibrated,donor,threshold_0.5,41281,41275,0.9998546546837528,0.7778343132820745
uncalibrated,donor,threshold_0.9,2751,2751,1.0,0.051843057440072365
global_T_1.1,acceptor,top_1x_positives,53024,52624,0.9924562462281231,0.9924562462281231
global_T_1.1,acceptor,top_2x_positives,106048,53022,0.4999811406155703,0.9999622812311406
global_T_1.1,acceptor,top_5x_positives,265120,53024,0.2,1.0
global_T_1.1,acceptor,top_10x_positives,530240,53024,0.1,1.0
global_T_1.1,acceptor,threshold_0.001,167418,53023,0.31671027010237846,0.9999811406155703
global_T_1.1,acceptor,threshold_0.01,59620,53004,0.889030526668903,0.9996228123114062
global_T_1.1,acceptor,threshold_0.05,53602,52823,0.9854669601880527,0.9962092637296318
global_T_1.1,acceptor,threshold_0.1,52664,52379,0.9945883335865107,0.9878356970428486
global_T_1.1,acceptor,threshold_0.5,41107,41103,0.9999026929719999,0.7751772782136391
global_T_1.1,acceptor,threshold_0.9,3227,3227,1.0,0.060859233554616775
global_T_1.1,donor,top_1x_positives,53064,52734,0.9937810945273632,0.9937810945273632
global_T_1.1,donor,top_2x_positives,106128,53061,0.49997173224785163,0.9999434644957033
global_T_1.1,donor,top_5x_positives,265320,53063,0.19999623096638022,0.9999811548319011
global_T_1.1,donor,top_10x_positives,530640,53064,0.1,1.0
global_T_1.1,donor,threshold_0.001,191223,53063,0.2774927702211554,0.9999811548319011
global_T_1.1,donor,threshold_0.01,59645,53052,0.8894626540363819,0.9997738579828132
global_T_1.1,donor,threshold_0.05,53667,52952,0.9866771013844634,0.9978893411729233
global_T_1.1,donor,threshold_0.1,52797,52566,0.9956247514063299,0.9906151062867481
