method,class,auprc,positives,mean_score_positive,mean_score_negative,max_score_negative
uncalibrated,acceptor,0.9995603129200397,53024,0.6658298969268799,0.0006604345398955047,0.6805858612060547
uncalibrated,donor,0.9996860653374028,53064,0.6522216796875,0.0007286755135282874,0.6392190456390381
global_T_1.1,acceptor,0.9995604770831139,53024,0.6556817293167114,0.0010929402196779847,0.665434718132019
global_T_1.1,donor,0.999686117619204,53064,0.6421685814857483,0.0012239107163622975,0.6271069049835205
logit_unweighted_vector,acceptor,0.9995392004005673,53024,0.970944344997406,0.0005073348875157535,0.9993672966957092
logit_unweighted_vector,donor,0.9996747402005731,53064,0.9732141494750977,0.00041340585448779166,0.9986078143119812
logit_weighted_vector,acceptor,0.9995564152742589,53024,0.7040172815322876,2.901066363847349e-05,0.7815517783164978
logit_weighted_vector,donor,0.9996856983235046,53064,0.7237865328788757,2.746294194366783e-05,0.7666662931442261
